;,2025 Energy Code: Long-term System Cost (LSC) NEM3 Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,E3 via CEC  ~4/5/23:  PV_Export_Factors_20221209.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,05/16/23 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Electricity TDV (CZ1; 30-yr PV$/kWh),Electricity TDV (CZ2; 30-yr PV$/kWh),Electricity TDV (CZ3; 30-yr PV$/kWh),Electricity TDV (CZ4; 30-yr PV$/kWh),Electricity TDV (CZ5; 30-yr PV$/kWh),Electricity TDV (CZ6; 30-yr PV$/kWh),Electricity TDV (CZ7; 30-yr PV$/kWh),Electricity TDV (CZ8; 30-yr PV$/kWh),Electricity TDV (CZ9; 30-yr PV$/kWh),Electricity TDV (CZ10; 30-yr PV$/kWh),Electricity TDV (CZ11; 30-yr PV$/kWh),Electricity TDV (CZ12; 30-yr PV$/kWh),Electricity TDV (CZ13; 30-yr PV$/kWh),Electricity TDV (CZ14; 30-yr PV$/kWh),Electricity TDV (CZ15; 30-yr PV$/kWh),Electricity TDV (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10215,2.502491151,2.502491151,2.502491151,2.502491151,2.502491151,2.403442025,2.403442025,2.403442025,2.403442025,2.403442025,2.502491151,2.502491151,2.502491151,2.403442025,2.403442025,2.403442025
10216,2.699881951,2.699881951,2.699881951,2.699881951,2.699881951,2.625340327,2.625340327,2.625340327,2.625340327,2.625340327,2.699881951,2.699881951,2.699881951,2.625340327,2.625340327,2.625340327
10217,3.024528556,3.024528556,3.024528556,3.024528556,3.024528556,3.070492627,3.070492627,3.070492627,3.070492627,3.070492627,3.024528556,3.024528556,3.024528556,3.070492627,3.070492627,3.070492627
10218,3.287338096,3.287338096,3.287338096,3.287338096,3.287338096,3.457317121,3.457317121,3.457317121,3.457317121,3.457317121,3.287338096,3.287338096,3.287338096,3.457317121,3.457317121,3.457317121
10219,8.389631615,4.907670401,11.98444243,4.907670401,4.907670401,4.977125807,4.977125807,4.977125807,4.977125807,4.977125807,4.907670401,4.907670401,4.907670401,4.977125807,4.977125807,4.977125807
10220,5.865112655,5.207368531,7.088640304,5.207368531,5.207368531,5.322842142,5.322842142,5.322842142,5.322842142,5.322842142,5.207368531,5.207368531,5.207368531,5.322842142,5.322842142,5.322842142
10221,5.307968086,5.307968086,5.307968086,5.307968086,5.307968086,5.420020998,5.420020998,5.420020998,5.420020998,5.420020998,5.307968086,5.307968086,5.307968086,5.420020998,5.420020998,5.420020998
10222,6.297190696,6.297190696,6.297190696,6.297190696,6.297190696,6.412002764,6.412002764,6.412002764,6.412002764,6.412002764,6.297190696,6.297190696,6.297190696,6.412002764,6.412002764,6.412002764
10223,6.948131016,6.948131016,6.948131016,6.948131016,6.948131016,7.065797226,7.065797226,7.065797226,7.065797226,7.065797226,6.948131016,6.948131016,6.948131016,7.065797226,7.065797226,7.065797226
10224,8.409454925,8.409454925,8.409454925,8.409454925,8.409454925,8.570271811,8.570271811,8.570271811,8.570271811,8.570271811,8.409454925,8.409454925,8.409454925,8.570271811,8.570271811,8.570271811
