,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10117,4.715639136,4.715639136,4.715639136,4.715639136,4.715639136,4.75683739,4.743769042,4.75683739,4.75683739,4.75683739,4.715639136,4.715639136,4.715639136,4.75683739,4.75683739,4.75683739,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10118,4.735973331,4.735973331,4.735973331,4.735973331,4.735973331,4.777349235,4.764224535,4.777349235,4.777349235,4.777349235,4.735973331,4.735973331,4.735973331,4.777349235,4.777349235,4.777349235,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10119,4.73577331,4.73577331,4.73577331,4.73577331,4.73577331,4.777147467,4.764023321,4.777147467,4.777147467,4.777147467,4.73577331,4.73577331,4.73577331,4.777147467,4.777147467,4.777147467,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10120,4.73486668,4.73486668,4.73486668,4.73486668,4.73486668,4.776232917,4.763111283,4.776232917,4.776232917,4.776232917,4.73486668,4.73486668,4.73486668,4.776232917,4.776232917,4.776232917,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10121,4.725810966,4.725810966,4.725810966,4.725810966,4.725810966,4.767098087,4.754001549,4.767098087,4.767098087,4.767098087,4.725810966,4.725810966,4.725810966,4.767098087,4.767098087,4.767098087,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10122,4.686469015,4.686469015,4.686469015,4.686469015,4.686469015,4.727412425,4.714424914,4.727412425,4.727412425,4.727412425,4.686469015,4.686469015,4.686469015,4.727412425,4.727412425,4.727412425,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10123,4.346007183,4.346007183,4.346007183,4.346007183,4.346007183,4.383976142,4.371932147,4.383976142,4.383976142,4.383976142,4.346007183,4.346007183,4.346007183,4.383976142,4.383976142,4.383976142,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10124,4.156827548,4.156827548,4.156827548,4.156827548,4.156827548,4.193143736,4.18162401,4.193143736,4.193143736,4.193143736,4.156827548,4.156827548,4.156827548,4.193143736,4.193143736,4.193143736,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10201,3.685436192,3.685436192,3.685436192,3.685436192,3.685436192,3.717634062,3.707420693,3.717634062,3.717634062,3.717634062,3.685436192,3.685436192,3.685436192,3.717634062,3.717634062,3.717634062,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10202,3.551242865,3.551242865,3.551242865,3.551242865,3.551242865,3.582268353,3.572426871,3.582268353,3.582268353,3.582268353,3.551242865,3.551242865,3.551242865,3.582268353,3.582268353,3.582268353,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
