,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10115,6.319776076,6.332104154,6.32794044,6.314122504,6.327860972,5.702312612,5.220283838,5.690922805,5.691138828,5.687993658,6.312679391,6.319362294,6.312748281,5.685288587,5.683373197,5.695422071,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10116,6.227580625,6.239800347,6.235673229,6.221976745,6.23559446,6.0074678,5.502895461,5.995711666,5.995934636,5.99268831,6.220546315,6.22717048,6.220614601,5.989896236,5.987919242,6.000355641,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10117,6.320166857,6.332495395,6.328331526,6.314513075,6.328252055,6.310800801,5.783819511,6.298680527,6.298910403,6.295563523,6.313069908,6.31975306,6.313138801,6.292684966,6.290646737,6.303468346,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10118,6.353005467,6.73068125,6.361195696,6.347333986,6.361115976,6.36373988,5.832847677,6.351556055,6.351787137,6.348422707,6.345886301,6.352590374,6.34595541,6.345529057,6.34348014,21.01513297,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10119,6.444312181,13.97536059,16.66069105,6.438591487,6.452493065,6.472366183,5.933449131,6.460051956,6.460285511,6.456885073,6.43713124,6.443893486,6.437200949,6.453960452,6.451889606,30.94865107,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10120,6.547925765,6.560521985,9.622167831,6.542149226,6.556186512,6.563540481,6.01788786,6.551116802,6.551352433,6.547921771,6.540674724,6.547502983,6.540745113,6.544971156,6.542881904,30.6946278,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10121,6.507272519,6.519820959,6.515582819,6.501517891,6.515501931,6.552649216,6.007801196,6.540238612,6.540473995,6.537046944,6.500048982,6.50685134,6.500119104,6.534099434,6.53201238,27.65398928,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10122,6.573698934,6.586325445,6.582060937,6.567908504,6.581979546,6.657612684,6.10501041,6.645076076,6.645313848,6.641852002,6.566430456,6.573275135,6.566501014,6.638874566,6.636766322,21.14973211,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10123,7.251753566,7.265176986,7.260643328,7.245597678,7.2605568,7.359707425,6.755237381,7.346327978,7.346581736,7.342887149,7.244026345,7.251303019,7.244101357,7.33970954,7.337459558,16.01016221,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10124,8.328632465,8.343321527,8.338360409,8.321896163,8.338265722,8.46039129,7.774607412,8.445690514,8.445969333,8.441909876,8.320176674,8.328139438,8.320258759,8.438418451,8.435946266,10.05596272,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10201,10.41988776,10.43703465,10.43124342,10.41202432,10.43113289,10.55830755,9.717538559,10.54108831,10.54141489,10.53665999,10.41001712,10.41931224,10.41011294,10.53257043,10.52967472,10.54789035,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10202,9.50340938,9.519479143,9.514051703,9.496039898,9.513948116,9.610346124,8.83960848,9.59426487,9.594569871,9.59012921,9.494158786,9.502870011,9.494248586,9.586309923,9.583605587,9.600617378,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10203,8.967364998,8.982804755,8.977590095,8.960284433,8.977490569,9.191233955,8.451458533,9.17565583,9.175951289,9.171649561,8.958477069,8.966846775,8.958563348,9.167949767,9.165330041,9.181809589,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10204,7.670030454,7.683945469,7.679245779,7.663649124,7.679156082,7.857053938,7.215842053,7.843077445,7.843342528,7.839483073,7.662020245,7.669563408,7.662098004,7.836163666,7.833813281,7.848598519,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10205,7.319715751,7.333219046,7.328658412,7.313523234,7.328571368,7.454888127,6.843386539,7.44139442,7.441650345,7.437924206,7.31194255,7.319262524,7.312018008,7.43471946,7.432450264,7.446724781,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10206,7.673853257,7.687772766,7.683071558,7.667469867,7.682981832,7.844131324,7.203874106,7.830170344,7.830435132,7.826579962,7.665840462,7.67338606,7.665918246,7.823264239,7.820916463,7.83568529,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10207,9.598897006,9.615078994,9.609613652,9.591476058,9.609509341,9.712150226,8.933891729,9.69594676,9.69625408,9.691779671,9.589581809,9.59835387,9.589672236,9.687931359,9.685206471,9.702347545,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10208,7.601586787,7.615421362,7.61074884,7.595242347,7.610659661,7.592363103,6.97070545,7.578704362,7.578963418,7.575191707,7.593622885,7.601122441,7.593700194,7.571947765,7.569650816,7.584099916,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10209,7.203289788,7.216656249,7.212141829,7.197160022,7.212055668,6.455834529,5.918138766,6.443540148,6.443773327,6.440378369,7.195595356,7.202841153,7.195670049,6.437458462,6.435390952,6.448396744,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10210,7.220548654,7.233935399,7.229414128,7.214409585,7.229327836,6.433930593,5.897852999,6.421662506,6.421895186,6.418507489,7.212842545,7.220099338,7.212917352,6.415593827,6.41353074,6.426508715,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10211,7.220895971,7.234283124,7.229761716,7.214756715,7.229675421,6.43311745,5.897099927,6.420850339,6.421083001,6.417695573,7.213189627,7.220446642,7.213264436,6.414782143,6.41271922,6.425696163,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
