,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10120,28.71784181,28.45652771,28.64272057,28.49833047,28.74176989,28.5451694,28.59678134,28.19180394,28.16135712,28.15374909,28.50519452,28.50290476,28.42751883,27.99498367,28.05494248,29.13092377,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10121,28.70261758,28.44134786,28.62750909,28.48314351,28.72654159,28.52860943,28.58023154,28.17530953,28.14486835,28.13726173,28.4900064,28.48771703,28.4123439,27.97852577,28.03847345,29.11425514,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10122,28.66645321,28.4052889,28.59137502,28.44706769,28.69036757,28.42812819,28.47983941,28.07522606,28.04481915,28.0372211,28.45392782,28.45163936,28.37629665,27.87866385,27.93854404,29.01311453,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10123,28.20590753,27.94608569,28.13121527,27.98764972,28.22969896,27.9044382,27.95651067,27.55360918,27.5233809,27.51582748,27.99447458,27.99219789,27.91724247,27.35820167,27.4177301,28.48598806,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10124,27.95093341,27.6918548,27.87645481,27.73329994,27.97465679,27.39682397,27.4492914,27.04800443,27.01794929,27.01043914,27.74010528,27.7378351,27.66309409,26.85371617,26.91290364,27.97504283,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10201,27.27896153,27.0218417,27.20504603,27.06297349,27.30250555,26.18649013,26.23981246,25.8424619,25.81281959,25.80541259,27.06972737,27.06747436,26.99329843,25.65084234,25.70921682,26.75676671,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10202,27.0601602,26.80367815,26.98642805,26.84470792,27.08364581,26.12193998,26.1752998,25.77816728,25.74854699,25.74114549,26.85144505,26.84919762,26.77520569,25.58669005,25.64502117,26.69179298,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10203,27.28577433,27.02863464,27.21185312,27.0697696,27.30932017,26.1936385,26.2469544,25.84958197,25.81993722,25.81252962,27.07652401,27.07427082,27.00008916,25.65794665,25.71632593,26.76396199,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10204,27.7792212,27.52064313,27.7048865,27.5620082,27.80289875,26.99393341,27.04666542,26.64670878,26.61679106,26.60931525,27.56880039,27.5665346,27.49193799,26.45330887,26.51222571,27.56950848,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10205,28.17578927,27.91605523,28.10112225,27.95760522,28.19957267,27.94397467,27.99594107,27.59298914,27.56274737,27.55519058,27.96442777,27.96215185,27.88722175,27.39749445,27.45704944,28.52578396,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
