,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10116,4.004354516,4.004354516,4.004354516,4.004354516,4.004354516,4.039338621,4.02824144,4.039338621,4.039338621,4.039338621,4.004354516,4.004354516,4.004354516,4.039338621,4.039338621,4.039338621,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10117,5.158284821,5.158284821,5.158284821,5.158284821,5.158284821,5.203350257,5.189055214,5.203350257,5.203350257,5.203350257,5.158284821,5.158284821,5.158284821,5.203350257,5.203350257,5.203350257,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10118,5.184744578,5.184744578,5.184744578,5.184744578,5.184744578,5.230041179,5.215672809,5.230041179,5.230041179,5.230041179,5.184744578,5.184744578,5.184744578,5.230041179,5.230041179,5.230041179,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10119,5.184508722,5.184508722,5.184508722,5.184508722,5.184508722,5.229803263,5.215435546,5.229803263,5.229803263,5.229803263,5.184508722,5.184508722,5.184508722,5.229803263,5.229803263,5.229803263,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10120,5.183417138,5.183417138,5.183417138,5.183417138,5.183417138,5.228702142,5.21433745,5.228702142,5.228702142,5.228702142,5.183417138,5.183417138,5.183417138,5.228702142,5.228702142,5.228702142,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10121,5.180814546,5.180814546,5.180814546,5.180814546,5.180814546,5.226076813,5.211719334,5.226076813,5.226076813,5.226076813,5.180814546,5.180814546,5.180814546,5.226076813,5.226076813,5.226076813,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10122,5.10739765,5.10739765,5.10739765,5.10739765,5.10739765,5.152018509,5.137864489,5.152018509,5.152018509,5.152018509,5.10739765,5.10739765,5.10739765,5.152018509,5.152018509,5.152018509,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10123,4.781787303,4.781787303,4.781787303,4.781787303,4.781787303,4.823563462,4.810311798,4.823563462,4.823563462,4.823563462,4.781787303,4.781787303,4.781787303,4.823563462,4.823563462,4.823563462,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10124,4.542820673,4.542820673,4.542820673,4.542820673,4.542820673,4.582509097,4.569919676,4.582509097,4.582509097,4.582509097,4.542820673,4.542820673,4.542820673,4.582509097,4.582509097,4.582509097,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10201,4.059132068,4.059132068,4.059132068,4.059132068,4.059132068,4.094594739,4.083345754,4.094594739,4.094594739,4.094594739,4.059132068,4.059132068,4.059132068,4.094594739,4.094594739,4.094594739,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
