,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10116,7.29200803,7.295288373,7.294071346,7.285489938,7.294533128,7.078305638,6.581545118,7.062049226,7.062370494,7.060744711,7.286166334,7.287260691,7.2814815,7.055378614,7.04649818,7.090343963,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10117,7.382380018,7.385678298,7.384454616,7.375826284,7.384918924,7.373879158,6.860301495,7.35731624,7.357643565,7.355987128,7.376506378,7.377606719,7.371795926,7.350519856,7.341471986,7.38614446,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10118,7.414433277,7.773962146,7.416511877,7.407866901,7.41697708,7.425464017,6.908951348,7.408847605,7.409175988,7.407514201,7.408548307,7.409650771,7.403828769,7.402029272,7.39295218,21.74290889,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10119,7.503556346,14.83848223,17.46312523,7.496954821,7.506113766,7.531311579,7.008776539,7.514585405,7.514915957,7.513243193,7.497639874,7.498748239,7.492895073,7.507722032,7.49858498,31.43679351,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10120,7.604691962,7.608034368,10.59741784,7.598050549,7.607264834,7.620153572,7.092563719,7.603335269,7.603667642,7.601985664,7.598739742,7.599854804,7.593966271,7.596434092,7.587246713,31.18889824,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10121,7.565010957,7.568345488,7.567108357,7.558385194,7.567577767,7.609540914,7.082554886,7.592733616,7.593065771,7.591384895,7.559072763,7.560185198,7.554310541,7.585836955,7.576655588,28.22161124,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10122,7.629848753,7.633196153,7.631954247,7.623197418,7.632425469,7.711819339,7.179014012,7.69490598,7.695240231,7.693548747,7.623887641,7.625004368,7.619107039,7.687965798,7.678726492,21.87426101,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10123,8.291687381,8.295166147,8.293875504,8.28477502,8.294365218,8.395953982,7.824223684,8.378331182,8.378679453,8.376917019,8.285492329,8.286652882,8.280524116,8.371099889,8.361473035,16.85867668,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10124,9.342812202,9.346499602,9.345131554,9.335485281,9.345650639,9.468481548,8.835728025,9.449746548,9.450116799,9.448243135,9.33624561,9.337475766,9.330979435,9.442058878,9.431824458,11.04811468,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10201,11.38405412,11.38814668,11.38662832,11.37592214,11.38720444,11.51273158,10.76366707,11.49187671,11.49228885,11.49020319,11.37676601,11.37813134,11.37092121,11.48331918,11.47192673,11.52817519,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
