Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).TotalLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Infiltration Volume""",,OutputProcessor::Unit::m3,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Infiltration Mass""",,OutputProcessor::Unit::kg,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Air Change Rate""",,OutputProcessor::Unit::ach,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilAirChangeRate,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Volume""",,OutputProcessor::Unit::m3,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).MixVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Mass""",,OutputProcessor::Unit::kg,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).MixMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Exfiltration Heat Transfer Rate""",,OutputProcessor::Unit::W,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).ExfilTotalLoss,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Exfiltration Sensible Heat Transfer Rate""",,OutputProcessor::Unit::W,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).ExfilSensiLoss,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Exfiltration Latent Heat Transfer Rate""",,OutputProcessor::Unit::W,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).ExfilLatentLoss,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Average Pressure""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.nodeReport(i).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"""AFN Zone On Cycle Pressure""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.nodeReport(i).PZON,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Off Cycle Pressure""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.nodeReport(i).PZOFF,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to 2 Average Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport1(i).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to 1 Average Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport1(i).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to 2 Average Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport1(i).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to 1 Average Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport1(i).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Average Pressure Difference""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.linkReport1(i).DP,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface On Cycle Pressure Difference""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.linkReport1(i).DPON,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Off Cycle Pressure Difference""",,OutputProcessor::Unit::Pa,dataAirflowNetworkBalanceManager.linkReport1(i).DPOFF,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node Total Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeSimu(j).PZ,"""System""","""Average"""
