//Complete Material and Composite List,,,,,,,,,,,,,,,,,,,,,,,,
//Save this TAB as MaterialData_T24N_2019.csv in the RulesetDev\Rulesets\T24N\Rules\Tables folder,,,,,,,,,,,,,,,,,,,,,,,,
TABLE MaterialData,,,,,,,,,,,,,,,,,,,,,,,,
CodeCat,MatList,Thkns,Rvalue,ThrmlCndct,Dens,SpecHt,ExtRoughness,Library_Res_Name,CSE_CondCT,CSE_Cond,CSE_SpecHt,CSE_Dens,NRCCPRF_MatEnum,NRCCPRF_GlazingMatEnum,// For Reference,,,,,,,,,
//Material Category,Material Name,Thickness,Resistance,Conductivity,Density,Specific Heat,Roughness,,Coef. for temp. adjustment of Cond,,,,,,Input,,,,,,,,,
//,,(in.),(h-ft2-F/BTU),(BTU/h-ft-F),(lb/ft3),(BTU/lb-F),,,(F-1),(BTU/h-ft-F),(BTU/lb-F),(lb/ft3),,,,,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 2 in.,2.00,0.32,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness2In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 4 in.,4.00,0.64,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness4In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 6 in.,6.00,0.97,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness6In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 8 in.,8.00,1.29,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness8In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 10 in.,10.00,1.61,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness10In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 100 lb/ft3 - 12 in.,12.00,1.93,0.5208,100.00,0.21,MediumRough,NA,-1,-1,-1,-1,Concrete100LbPerFt3Thickness12In,,"AEC, CEC RJ",,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 2 in.,2.00,0.15,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness2In,,AEC,,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 4 in.,4.00,0.30,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness4In,,AEC,,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 6 in.,6.00,0.44,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness6In,,AEC,,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 8 in.,8.00,0.59,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness8In,,AEC,,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 10 in.,10.00,0.74,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness10In,,AEC,,,,,,,,,
Concrete,Concrete - 140 lb/ft3 - 12 in.,12.00,0.89,1.1275,139.78,0.22,MediumRough,NA,-1,-1,-1,-1,Concrete140LbPerFt3Thickness12In,,"AEC, CEC RJ",,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,0.851,1.3217,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationNoSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14,0.949,1.2292,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationNoSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,1.251,0.9992,120.2,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationNoSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,1.548,0.8617,112.75,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationNoSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,2.153,0.6967,100.33,0.13,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationNoSteelInsulation6In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,0.851,1.3217,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,0.556,2.0983,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,0.476,2.6258,120.2,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,0.417,3.1975,112.75,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 80% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,0.333,4.5042,100.33,0.13,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel80PercentInsulationSteelInsulation6In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,1.251,0.8992,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationNoSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14,1.449,0.805,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationNoSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,2.049,0.61,120.2,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationNoSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,2.647,0.5033,112.75,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationNoSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,3.758,0.3992,100.33,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationNoSteelInsulation6In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,1.15,0.9783,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,1.449,0.805,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,1.951,0.6408,120.2,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,2.45,0.5442,112.75,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 90% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,3.555,0.4217,100.33,0.12,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel90PercentInsulationSteelInsulation6In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 1 1/2 in.,13.5,7.347,0.1533,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationNoSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 2 in.,14.00,9.68,0.1208,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationNoSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 3 in.,15,14.302,0.0875,120.2,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationNoSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 4 in.,16,18.83,0.0708,112.75,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationNoSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - No Steel in Ins. - Ins. 6 in.,18,28.562,0.0525,100.33,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationNoSteelInsulation6In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 1 1/2 in.,13.5,5.248,0.2142,133.44,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationSteelInsulation1_5In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 2 in.,14,6.963,0.1675,128.71,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationSteelInsulation2In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 3 in.,15,10.139,0.1233,120.2,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationSteelInsulation3In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 4 in.,16,13.436,0.0992,112.75,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationSteelInsulation4In,,JA4-10,,,,,,,,,
Concrete Sandwich Panel,Concrete Sandwich Panel - 100% Ins. Layer - Steel in Ins. - Ins. 6 in.,18,19.983,0.075,100.33,0.11,MediumRough,NA,-1,-1,-1,-1,ConcreteSandwichPanel100PercentInsulationSteelInsulation6In,,JA4-10,,,,,,,,,
