// This table pasted into App5-4A_SpaceBySpace-T24N_2025.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial Transaction Area,Misc - Banks or bank lobbies,10,0.5,250,250,1.5,0.18,Electric,0.7,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,326,1,0,0,FinancialTransactionsArea,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Exam/Treatment Room),Misc - All others,10,0.5,250,200,1.5,0.24,Electric,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,1.12596,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,327,1,0,0,HospitalExamTreatment,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Imaging Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,328,1,0,0,HospitalImaging,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Medical Supply Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,50,300,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,329,1,0,0,HospitalMedicalSupply,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Nursery),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,330,1,0,0,HospitalNursery,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Nurse's Station),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.85,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,331,1,0,0,HospitalNurseStation,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Operating Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,332,1,0,0,HospitalOperatingRoom,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Patient Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.7,0,0,0,0.15,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,333,1,0,0,HospitalPatientRoom,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Physical Therapy Room),Misc - All others,10,0.5,250,200,1.5,0.24,Electric,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,334,1,0,0,HospitalPhysicalTherapy,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
,Healthcare Facility and Hospitals (Recovery Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,335,1,0,0,HospitalRecovery,NA,"Office, Financial, Unleased, Med Office/Clinic",; ,,,,
