,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10309,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.47E-05,6.52E-05,6.51E-05,6.52E-05,6.52E-05,6.52E-05,6.47E-05,6.47E-05,6.47E-05,6.52E-05,6.52E-05,6.52E-05
,10310,2.62E-06,2.62E-06,2.62E-06,2.62E-06,2.62E-06,2.64E-06,2.64E-06,2.64E-06,2.64E-06,2.64E-06,2.62E-06,2.62E-06,2.62E-06,2.64E-06,2.64E-06,2.64E-06
,10311,9.52E-08,9.52E-08,9.52E-08,9.52E-08,9.52E-08,9.60E-08,9.57E-08,9.60E-08,9.60E-08,9.60E-08,9.52E-08,9.52E-08,9.52E-08,9.60E-08,9.60E-08,9.60E-08
,10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10314,1.91E-07,1.91E-07,1.91E-07,1.91E-07,1.91E-07,1.93E-07,1.92E-07,1.93E-07,1.93E-07,1.93E-07,1.91E-07,1.91E-07,1.91E-07,1.93E-07,1.93E-07,1.93E-07
,10315,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.19E-06,1.19E-06,1.19E-06,1.19E-06,1.19E-06,1.18E-06,1.18E-06,1.18E-06,1.19E-06,1.19E-06,1.19E-06
,10316,2.74E-06,2.74E-06,2.74E-06,2.74E-06,2.74E-06,2.77E-06,2.76E-06,2.77E-06,2.77E-06,2.77E-06,2.74E-06,2.74E-06,2.74E-06,2.77E-06,2.77E-06,2.77E-06
,10317,0.000242148,0.000242148,0.000242148,0.000242148,0.000242148,0.000244263,0.000243592,0.000244263,0.000244263,0.000244263,0.000242148,0.000242148,0.000242148,0.000244263,0.000244263,0.000244263
,10318,0.000279468,0.000279468,0.000279468,0.000279468,0.000279468,0.00028191,0.000281135,0.00028191,0.00028191,0.00028191,0.000279468,0.000279468,0.000279468,0.00028191,0.00028191,0.00028191
,10319,0.000279443,0.000279443,0.000279443,0.000279443,0.000279443,0.000281885,0.00028111,0.000281885,0.000281885,0.000281885,0.000279443,0.000279443,0.000279443,0.000281885,0.000281885,0.000281885
,10320,0.000279443,0.000279443,0.000279443,0.000279443,0.000279443,0.000281884,0.00028111,0.000281884,0.000281884,0.000281884,0.000279443,0.000279443,0.000279443,0.000281884,0.000281884,0.000281884
,10321,0.00027918,0.00027918,0.00027918,0.00027918,0.00027918,0.000281619,0.000280845,0.000281619,0.000281619,0.000281619,0.00027918,0.00027918,0.00027918,0.000281619,0.000281619,0.000281619
,10322,0.000279179,0.000279179,0.000279179,0.000279179,0.000279179,0.000281618,0.000280845,0.000281618,0.000281618,0.000281618,0.000279179,0.000279179,0.000279179,0.000281618,0.000281618,0.000281618
,10323,0.000279269,0.000279269,0.000279269,0.000279269,0.000279269,0.000281708,0.000280935,0.000281708,0.000281708,0.000281708,0.000279269,0.000279269,0.000279269,0.000281708,0.000281708,0.000281708
,10324,0.000279319,0.000279319,0.000279319,0.000279319,0.000279319,0.000281759,0.000280985,0.000281759,0.000281759,0.000281759,0.000279319,0.000279319,0.000279319,0.000281759,0.000281759,0.000281759
,10401,0.000285273,0.000285273,0.000285273,0.000285273,0.000285273,0.000287765,0.000286975,0.000287765,0.000287765,0.000287765,0.000285273,0.000285273,0.000285273,0.000287765,0.000287765,0.000287765
