;,; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: 2019 TDV CARBON ONLY, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh)
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10417,0.274947943,0.274947943,0.274947943,0.274947943,0.274947943,0.27532903,0.27532903,0.27532903,0.27532903,0.27532903,0.274947943,0.274947943,0.274947943,0.27532903,0.27532903,0.27532903
,10418,0.275843082,0.275843082,0.275843082,0.275843082,0.275843082,0.278780876,0.278780876,0.278780876,0.278780876,0.278780876,0.275843082,0.275843082,0.275843082,0.278780876,0.278780876,0.278780876
,10419,0.27587139,0.27587139,0.27587139,0.27587139,0.27587139,0.279374901,0.279374901,0.279374901,0.279374901,0.279374901,0.27587139,0.27587139,0.27587139,0.279374901,0.279374901,0.279374901
,10420,0.275870941,0.275870941,0.275870941,0.275870941,0.275870941,0.279523862,0.279523862,0.279523862,0.279523862,0.279523862,0.275870941,0.275870941,0.275870941,0.279523862,0.279523862,0.279523862
,10421,0.275901267,0.275901267,0.275901267,0.275901267,0.275901267,0.279376259,0.279376259,0.279376259,0.279376259,0.279376259,0.275901267,0.275901267,0.275901267,0.279376259,0.279376259,0.279376259
,10422,0.275934573,0.275934573,0.275934573,0.275934573,0.275934573,0.278085239,0.278085239,0.278085239,0.278085239,0.278085239,0.275934573,0.275934573,0.275934573,0.278085239,0.278085239,0.278085239
,10423,0.274607918,0.274607918,0.274607918,0.274607918,0.274607918,0.275230773,0.275230773,0.275230773,0.275230773,0.275230773,0.274607918,0.274607918,0.274607918,0.275230773,0.275230773,0.275230773
,10424,0.269515652,0.269515652,0.269515652,0.269515652,0.269515652,0.268497692,0.268497692,0.268497692,0.268497692,0.268497692,0.269515652,0.269515652,0.269515652,0.268497692,0.268497692,0.268497692
,10501,0.252589726,0.252589726,0.252589726,0.252589726,0.252589726,0.251272804,0.251272804,0.251272804,0.251272804,0.251272804,0.252589726,0.252589726,0.252589726,0.251272804,0.251272804,0.251272804
,10502,0.252158338,0.252158338,0.252158338,0.252158338,0.252158338,0.247061817,0.247061817,0.247061817,0.247061817,0.247061817,0.252158338,0.252158338,0.252158338,0.247061817,0.247061817,0.247061817
,10503,0.251870087,0.251870087,0.251870087,0.251870087,0.251870087,0.246012608,0.246012608,0.246012608,0.246012608,0.246012608,0.251870087,0.251870087,0.251870087,0.246012608,0.246012608,0.246012608
,10504,0.251973647,0.251973647,0.251973647,0.251973647,0.251973647,0.246823131,0.246823131,0.246823131,0.246823131,0.246823131,0.251973647,0.251973647,0.251973647,0.246823131,0.246823131,0.246823131
,10505,0.252517417,0.252517417,0.252517417,0.252517417,0.252517417,0.250851558,0.250851558,0.250851558,0.250851558,0.250851558,0.252517417,0.252517417,0.252517417,0.250851558,0.250851558,0.250851558
,10506,0.252971534,0.252971534,0.252971534,0.252971534,0.252971534,0.252615205,0.252615205,0.252615205,0.252615205,0.252615205,0.252971534,0.252971534,0.252971534,0.252615205,0.252615205,0.252615205
,10507,0.253195836,0.253195836,0.253195836,0.253195836,0.253195836,0.25411195,0.25411195,0.25411195,0.25411195,0.25411195,0.253195836,0.253195836,0.253195836,0.25411195,0.25411195,0.25411195
,10508,0.253563095,0.253563095,0.253563095,0.253563095,0.253563095,0.25540622,0.25540622,0.25540622,0.25540622,0.25540622,0.253563095,0.253563095,0.253563095,0.25540622,0.25540622,0.25540622
,10509,0.252607753,0.252607753,0.252607753,0.252607753,0.252607753,0.249831867,0.249831867,0.249831867,0.249831867,0.249831867,0.252607753,0.252607753,0.252607753,0.249831867,0.249831867,0.249831867
,10510,0.244726942,0.244726942,0.244726942,0.244726942,0.244726942,0.105101137,0.105101137,0.105101137,0.105101137,0.105101137,0.244726942,0.244726942,0.244726942,0.105101137,0.105101137,0.105101137
,10511,0.227805649,0.227805649,0.227805649,0.227805649,0.227805649,0.105209501,0.105209501,0.105209501,0.105209501,0.105209501,0.227805649,0.227805649,0.227805649,0.105209501,0.105209501,0.105209501
,10512,0.226941154,0.226941154,0.226941154,0.226941154,0.226941154,0.104059131,0.104059131,0.104059131,0.104059131,0.104059131,0.226941154,0.226941154,0.226941154,0.104059131,0.104059131,0.104059131
,10513,0.226394085,0.226394085,0.226394085,0.226394085,0.226394085,0.08413034,0.08413034,0.08413034,0.08413034,0.08413034,0.226394085,0.226394085,0.226394085,0.08413034,0.08413034,0.08413034
,10514,0.22690191,0.22690191,0.22690191,0.22690191,0.22690191,0.104189427,0.104189427,0.104189427,0.104189427,0.104189427,0.22690191,0.22690191,0.22690191,0.104189427,0.104189427,0.104189427
,10515,0.227765257,0.227765257,0.227765257,0.227765257,0.227765257,0.105173862,0.105173862,0.105173862,0.105173862,0.105173862,0.227765257,0.227765257,0.227765257,0.105173862,0.105173862,0.105173862
,10516,0.252637744,0.252637744,0.252637744,0.252637744,0.252637744,0.249890609,0.249890609,0.249890609,0.249890609,0.249890609,0.252637744,0.252637744,0.252637744,0.249890609,0.249890609,0.249890609
,10517,0.255683152,0.255683152,0.255683152,0.255683152,0.255683152,0.256853858,0.256853858,0.256853858,0.256853858,0.256853858,0.255683152,0.255683152,0.255683152,0.256853858,0.256853858,0.256853858
,10518,0.261311674,0.261311674,0.261311674,0.261311674,0.261311674,0.271751711,0.271751711,0.271751711,0.271751711,0.271751711,0.261311674,0.261311674,0.261311674,0.271751711,0.271751711,0.271751711
