;,2025 Energy Code: Long-term System Cost (LSC) NEM3-ACC (Avoided Cost Calculator) Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,from CEC/RJW via e-mail  7/15/24:  2025_LSCHourlyExportValuesACC.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,07/16/24 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Export LSC (CZ1; 30-yr PV$/kWh),Export LSC (CZ2; 30-yr PV$/kWh),Export LSC (CZ3; 30-yr PV$/kWh),Export LSC (CZ4; 30-yr PV$/kWh),Export LSC (CZ5; 30-yr PV$/kWh),Export LSC (CZ6; 30-yr PV$/kWh),Export LSC (CZ7; 30-yr PV$/kWh),Export LSC (CZ8; 30-yr PV$/kWh),Export LSC (CZ9; 30-yr PV$/kWh),Export LSC (CZ10; 30-yr PV$/kWh),Export LSC (CZ11; 30-yr PV$/kWh),Export LSC (CZ12; 30-yr PV$/kWh),Export LSC (CZ13; 30-yr PV$/kWh),Export LSC (CZ14; 30-yr PV$/kWh),Export LSC (CZ15; 30-yr PV$/kWh),Export LSC (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10313,1.047058655,1.047058655,1.047058655,1.047058655,1.047058655,0.768127617,0.768120423,0.768127617,0.768127617,0.768127617,1.047058655,1.047058655,1.047058655,0.768127617,0.768127617,0.768127617
10314,1.006005882,1.006005882,1.006005882,1.006005882,1.006005882,0.769547939,0.769530125,0.769547939,0.769547939,0.769547939,1.006005882,1.006005882,1.006005882,0.769547939,0.769547939,0.769547939
10315,0.949779542,0.949779542,0.949779542,0.949779542,0.949779542,0.739042702,0.73903386,0.739042702,0.739042702,0.739042702,0.949779542,0.949779542,0.949779542,0.739042702,0.739042702,0.739042702
10316,0.905275725,0.905275725,0.905275725,0.905275725,0.905275725,0.743954649,0.743931078,0.743954649,0.743954649,0.743954649,0.905275725,0.905275725,0.905275725,0.743954649,0.743954649,0.743954649
10317,1.468698854,1.468698854,1.468698854,1.468698854,1.468698854,1.402064365,1.402079303,1.402064365,1.402064365,1.402064365,1.468698854,1.468698854,1.468698854,1.402064365,1.402064365,1.402064365
10318,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575871702,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049,1.575889049
10319,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.58849712,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684,1.588498684
10320,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570229319,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422,1.570230422
10321,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.540925129,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512,1.54092512
10322,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.46477344,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422,1.464777422
10323,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409338955,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155,1.409347155
10324,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369539589,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575,1.369529575
10401,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.346654404,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916,1.34667916
10402,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342457882,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483,1.342436483
10403,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323403847,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422,1.323408422
10404,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322955176,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328,1.322968328
10405,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322518524,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291,1.322515291
10406,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362106615,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555,1.362098555
10407,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445626369,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145,1.445619145
10408,1.406863409,1.406863409,1.406863409,1.406863409,1.406863409,1.402313542,1.402304011,1.402313542,1.402313542,1.402313542,1.406863409,1.406863409,1.406863409,1.402313542,1.402313542,1.402313542
10409,1.181042788,1.181042788,1.181042788,1.181042788,1.181042788,1.146846359,1.146837822,1.146846359,1.146846359,1.146846359,1.181042788,1.181042788,1.181042788,1.146846359,1.146846359,1.146846359
10410,1.220702126,1.220702126,1.220702126,1.220702126,1.220702126,0.984392336,0.984379302,0.984392336,0.984392336,0.984392336,1.220702126,1.220702126,1.220702126,0.984392336,0.984392336,0.984392336
10411,1.158844691,1.158844691,1.158844691,1.158844691,1.158844691,0.883661328,0.883653272,0.883661328,0.883661328,0.883661328,1.158844691,1.158844691,1.158844691,0.883661328,0.883661328,0.883661328
10412,1.103621247,1.103621247,1.103621247,1.103621247,1.103621247,0.818497492,0.818480979,0.818497492,0.818497492,0.818497492,1.103621247,1.103621247,1.103621247,0.818497492,0.818497492,0.818497492
10413,1.042871223,1.042871223,1.042871223,1.042871223,1.042871223,0.766786861,0.766777383,0.766786861,0.766786861,0.766786861,1.042871223,1.042871223,1.042871223,0.766786861,0.766786861,0.766786861
10414,0.998905255,0.998905255,0.998905255,0.998905255,0.998905255,0.766032211,0.765999118,0.766032211,0.766032211,0.766032211,0.998905255,0.998905255,0.998905255,0.766032211,0.766032211,0.766032211
10415,0.944028401,0.944028401,0.944028401,0.944028401,0.944028401,0.73387112,0.733854895,0.73387112,0.73387112,0.73387112,0.944028401,0.944028401,0.944028401,0.73387112,0.73387112,0.73387112
10416,0.905108258,0.905108258,0.905108258,0.905108258,0.905108258,0.746067037,0.746040665,0.746067037,0.746067037,0.746067037,0.905108258,0.905108258,0.905108258,0.746067037,0.746067037,0.746067037
10417,1.470336585,1.470336585,1.470336585,1.470336585,1.470336585,1.403694651,1.40370784,1.403694651,1.403694651,1.403694651,1.470336585,1.470336585,1.470336585,1.403694651,1.403694651,1.403694651
10418,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.576963372,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534,1.57697534
10419,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588679943,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548,1.588678548
10420,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570960845,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726,1.570968726
10421,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542609563,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927,1.542608927
10422,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465888253,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528,1.465882528
10423,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410704137,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995,1.410716995
10424,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370301057,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936,1.370294936
10501,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353300845,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066,1.353290066
10502,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349996952,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818,1.349998818
10503,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725771,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321,1.334725321
10504,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332391128,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763,1.332372763
10505,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351400404,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357,1.351399357
10506,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390403977,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118,1.390405118
10507,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499248975,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522,1.499266522
10508,1.445526235,1.445526235,1.445526235,1.445526235,1.445526235,1.440864302,1.440878174,1.440864302,1.440864302,1.440864302,1.445526235,1.445526235,1.445526235,1.440864302,1.440864302,1.440864302
10509,1.309883381,1.309883381,1.309883381,1.309883381,1.309883381,1.295618321,1.295589845,1.295618321,1.295618321,1.295618321,1.309883381,1.309883381,1.309883381,1.295618321,1.295618321,1.295618321
10510,1.354896062,1.354896062,1.354896062,1.354896062,1.354896062,1.080622846,1.080609536,1.080622846,1.080622846,1.080622846,1.354896062,1.354896062,1.354896062,1.080622846,1.080622846,1.080622846
10511,1.313909276,1.313909276,1.313909276,1.313909276,1.313909276,0.945008376,0.945009492,0.945008376,0.945008376,0.945008376,1.313909276,1.313909276,1.313909276,0.945008376,0.945008376,0.945008376
10512,1.264828765,1.264828765,1.264828765,1.264828765,1.264828765,0.897285353,0.897268465,0.897285353,0.897285353,0.897285353,1.264828765,1.264828765,1.264828765,0.897285353,0.897285353,0.897285353
10513,1.212919662,1.212919662,1.212919662,1.212919662,1.212919662,0.876302577,0.876315737,0.876302577,0.876302577,0.876302577,1.212919662,1.212919662,1.212919662,0.876302577,0.876302577,0.876302577
10514,1.168713252,1.168713252,1.168713252,1.168713252,1.168713252,0.863452269,0.863430412,0.863452269,0.863452269,0.863452269,1.168713252,1.168713252,1.168713252,0.863452269,0.863452269,0.863452269
10515,1.081392559,1.081392559,1.081392559,1.081392559,1.081392559,0.802866242,0.802885714,0.802866242,0.802866242,0.802866242,1.081392559,1.081392559,1.081392559,0.802866242,0.802866242,0.802866242
10516,1.025202285,1.025202285,1.025202285,1.025202285,1.025202285,0.792879532,0.792896904,0.792879532,0.792879532,0.792879532,1.025202285,1.025202285,1.025202285,0.792879532,0.792879532,0.792879532
