,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10115,27.22551454,26.99221787,27.13966607,27.18419746,27.29406413,24.48566792,24.44426598,24.59597902,24.52128617,24.46898904,27.10567888,27.11405529,27.04285671,24.45959855,24.47309128,25.0071659,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10116,28.24153519,28.00575832,28.15477406,28.19977887,28.31081355,25.16465765,25.12196755,25.27577805,25.20053722,25.1478564,28.12042555,28.12889101,28.0569355,25.13839701,25.15198874,25.68998163,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10117,28.72675222,28.48979088,28.63955522,28.68478613,28.7963786,28.74450483,28.69505282,28.85989215,28.78176214,28.72705843,28.60503416,28.61354215,28.54122516,28.71723582,28.73134945,29.29000073,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10118,28.73352884,28.49655096,28.64632576,28.69155982,28.80316009,28.77427212,28.72476257,28.88969491,28.81154088,28.75682035,28.61180229,28.62031087,28.54798884,28.74699472,28.76111269,29.31993575,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10119,28.73197781,28.49500371,28.64477612,28.69000946,28.80160794,28.7745737,28.72506357,28.88999686,28.81184258,28.75712188,28.61025319,28.61876164,28.54644076,28.74729622,28.76141424,29.32023904,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10120,28.72836586,28.49140059,28.64116742,28.68639907,28.7979934,28.77086544,28.72136228,28.88628418,28.80813289,28.75341429,28.60664578,28.61515391,28.54283572,28.743589,28.75770648,29.31650988,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10121,28.72290526,28.48595331,28.63571172,28.68094083,28.79252888,28.76319798,28.71370873,28.87860758,28.80046248,28.74574821,28.60119202,28.60969967,28.53738556,28.7359237,28.75004006,29.30879921,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10122,28.65481646,28.41803073,28.56768409,28.61288147,28.72439125,28.57235303,28.5232351,28.68753516,28.60954409,28.55493766,28.5331886,28.54169029,28.46942689,28.54513251,28.55922105,29.11687888,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10123,28.34200946,28.10598732,28.25515807,28.3002097,28.41135988,28.14273891,28.09444118,28.25740896,28.17976462,28.12540096,28.22077383,28.2292481,28.15721774,28.1156394,28.1296653,28.68484394,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10124,28.04827941,27.81297429,27.96169187,28.00660664,28.11741915,27.40086807,27.35397772,27.51465387,27.43760827,27.38366382,27.92741209,27.93586061,27.86404908,27.37397753,27.38789528,27.93879277,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
