;,,,,,,,,,,,,,
TABLE HRR10STrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,29117.112,29117.112,1.4553,-99996,-99996,,,,
PropSys6 CoilHtg-2,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,61816.1,61816.1,3.08963,-99996,-99996,,,,
PropSys6 CoilHtg-3,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,1723.029,1723.029,0.08612,-99996,-99996,,,,
PropSys6 CoilHtg-4,BaseSys6 CoilHtg-4,HotWater,BaseAirSys6-4,UNDEFINED,1722.169,1722.169,0.08608,-99996,-99996,,,,
PropSys6 CoilHtg-5,BaseSys6 CoilHtg-5,HotWater,BaseAirSys6-5,UNDEFINED,1673.763,1673.763,0.08366,-99996,-99996,,,,
PropSys6 CoilHtg-6,BaseSys6 CoilHtg-6,HotWater,BaseAirSys6-6,UNDEFINED,2762.1,2762.1,0.13805,-99996,-99996,,,,
PropSys2 CoilHtg,BaseSys2 CoilHtg,HotWater,BaseZnSys2,Apartment Unit 103 Thermal Zn,9425.762,9425.762,0.47111,-99996,-99996,,,,
PropSys2 CoilHtg-2,BaseSys2 CoilHtg-2,HotWater,BaseZnSys2-2,Apartment Unit  104 Thermal Zn,11707.087,11707.087,0.58513,-99996,-99996,,,,
PropSys2 CoilHtg-3,BaseSys2 CoilHtg-3,HotWater,BaseZnSys2-3,Apartment Unit  108 Thermal Zn,11703.95,11703.95,0.58498,-99996,-99996,,,,
PropSys2 CoilHtg-4,BaseSys2 CoilHtg-4,HotWater,BaseZnSys2-4,Apartment Unit 301 Thermal Zn,15182.296,15182.296,0.75883,-99996,-99996,,,,
PropSys2 CoilHtg-5,BaseSys2 CoilHtg-5,HotWater,BaseZnSys2-5,Apartment Unit 302 Thermal Zn,11649.954,11649.954,0.58228,-99996,-99996,,,,
PropSys2 CoilHtg-6,BaseSys2 CoilHtg-6,HotWater,BaseZnSys2-6,Apartment Unit 303 Thermal Zn,11650.175,11650.175,0.58229,-99996,-99996,,,,
PropSys2 CoilHtg-7,BaseSys2 CoilHtg-7,HotWater,BaseZnSys2-7,Apartment Unit 304 Thermal Zn,15186.854,15186.854,0.75905,-99996,-99996,,,,
PropSys2 CoilHtg-8,BaseSys2 CoilHtg-8,HotWater,BaseZnSys2-8,Apartment Unit 305 Thermal Zn,15174.031,15174.031,0.75841,-99996,-99996,,,,
PropSys2 CoilHtg-9,BaseSys2 CoilHtg-9,HotWater,BaseZnSys2-9,Apartment Unit 306 Thermal Zn,11639.192,11639.192,0.58174,-99996,-99996,,,,
PropSys2 CoilHtg-10,BaseSys2 CoilHtg-10,HotWater,BaseZnSys2-10,Apartment Unit 307 Thermal Zn,11639.415,11639.415,0.58175,-99996,-99996,,,,
PropSys2 CoilHtg-11,BaseSys2 CoilHtg-11,HotWater,BaseZnSys2-11,Apartment Unit 308 Thermal Zn,15178.596,15178.596,0.75864,-99996,-99996,,,,
PropSys2 CoilHtg-12,BaseSys2 CoilHtg-12,HotWater,BaseZnSys2-12,Apartment Unit 801 Thermal Zn,15244.644,15244.644,0.76194,-99996,-99996,,,,
PropSys2 CoilHtg-13,BaseSys2 CoilHtg-13,HotWater,BaseZnSys2-13,Apartment Unit 802 Thermal Zn,11698.2,11698.2,0.58469,-99996,-99996,,,,
PropSys2 CoilHtg-14,BaseSys2 CoilHtg-14,HotWater,BaseZnSys2-14,Apartment Unit 803 Thermal Zn,11698.431,11698.431,0.5847,-99996,-99996,,,,
PropSys2 CoilHtg-15,BaseSys2 CoilHtg-15,HotWater,BaseZnSys2-15,Apartment Unit 804 Thermal Zn,15249.375,15249.375,0.76218,-99996,-99996,,,,
PropSys2 CoilHtg-16,BaseSys2 CoilHtg-16,HotWater,BaseZnSys2-16,Apartment Unit 805 Thermal Zn,15236.325,15236.325,0.76153,-99996,-99996,,,,
PropSys2 CoilHtg-17,BaseSys2 CoilHtg-17,HotWater,BaseZnSys2-17,Apartment Unit 806 Thermal Zn,11687.375,11687.375,0.58415,-99996,-99996,,,,
PropSys2 CoilHtg-18,BaseSys2 CoilHtg-18,HotWater,BaseZnSys2-18,Apartment Unit 807 Thermal Zn,11687.606,11687.606,0.58416,-99996,-99996,,,,
PropSys2 CoilHtg-19,BaseSys2 CoilHtg-19,HotWater,BaseZnSys2-19,Apartment Unit 808 Thermal Zn,15241.056,15241.056,0.76176,-99996,-99996,,,,
PropSys2 CoilHtg-20,BaseSys2 CoilHtg-20,HotWater,BaseZnSys2-20,Apartment Unit 1001 Thermal Zn,19547.812,19547.812,0.97702,-99996,-99996,,,,
PropSys2 CoilHtg-21,BaseSys2 CoilHtg-21,HotWater,BaseZnSys2-21,Apartment Unit 1002 Thermal Zn,15338.925,15338.925,0.76665,-99996,-99996,,,,
PropSys2 CoilHtg-22,BaseSys2 CoilHtg-22,HotWater,BaseZnSys2-22,Apartment Unit 1003 Thermal Zn,15339.062,15339.062,0.76666,-99996,-99996,,,,
PropSys2 CoilHtg-23,BaseSys2 CoilHtg-23,HotWater,BaseZnSys2-23,Apartment Unit 1004 Thermal Zn,19552.737,19552.737,0.97727,-99996,-99996,,,,
PropSys2 CoilHtg-24,BaseSys2 CoilHtg-24,HotWater,BaseZnSys2-24,Apartment Unit 1005 Thermal Zn,19539.088,19539.088,0.97658,-99996,-99996,,,,
PropSys2 CoilHtg-25,BaseSys2 CoilHtg-25,HotWater,BaseZnSys2-25,Apartment Unit 1006 Thermal Zn,15328.525,15328.525,0.76614,-99996,-99996,,,,
PropSys2 CoilHtg-26,BaseSys2 CoilHtg-26,HotWater,BaseZnSys2-26,Apartment Unit 1007 Thermal Zn,15328.663,15328.663,0.76614,-99996,-99996,,,,
PropSys2 CoilHtg-27,BaseSys2 CoilHtg-27,HotWater,BaseZnSys2-27,Apartment Unit 1008 Thermal Zn,19544,19544,0.97683,-99996,-99996,,,,
PropVAVBox CoilHtg,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Storage Basement Thermal Zn,34846.537,34846.537,1.74167,-99996,-99996,,,,
PropVAVBox CoilHtg-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6,Mechanical Basement Thermal Zn,54534.325,54534.325,2.72568,-99996,-99996,,,,
PropVAVBox CoilHtg-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6,Corridor Basement Thermal Zn,5868.575,5868.575,0.29332,-99996,-99996,,,,
PropVAVBox CoilHtg-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6-2,Exercise Center Lvl1 Thermal Zn,13985.775,13985.775,0.69902,-99996,-99996,,,,
PropVAVBox CoilHtg-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6-2,Laundry Lvl1 Thermal Zn,14886.388,14886.388,0.74404,-99996,-99996,,,,
PropVAVBox CoilHtg-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6-2,Main Entry Lobby Lvl1 Thermal Zn,15995.562,15995.562,0.79947,-99996,-99996,,,,
PropVAVBox CoilHtg-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6-2,Multipurpose Room Lvl1 Thermal Zn,14716.475,14716.475,0.73554,-99996,-99996,,,,
PropVAVBox CoilHtg-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6-2,Office Lvl1 Thermal Zn,16340.9,16340.9,0.81673,-99996,-99996,,,,
PropVAVBox CoilHtg-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-2,Corridor Lvl1 Thermal Zn,8732.112,8732.112,0.43644,-99996,-99996,,,,
PropVAVBox CoilHtg-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-3,Corridor Lvl3 Thermal Zn,10158.158,10158.158,0.50771,-99996,-99996,,,,
PropVAVBox CoilHtg-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-4,Corridor Lvl8 Thermal Zn,10176.3,10176.3,0.50862,-99996,-99996,,,,
PropVAVBox CoilHtg-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-5,Corridor 10 Thermal Zn,11022.538,11022.538,0.55092,-99996,-99996,,,,
PropVAVBox CoilHtg-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-6,Penthouse Thermal Zn,18879.15,18879.15,0.9436,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HRR10SFan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
PropSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,6134.4,1533.226,0.65,BrakeHorsePower,5.362,7.975,10,InAirStream,0.917
PropSys6 Fan-2,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,4301.94,1289.56,0.65,BrakeHorsePower,5.362,5.593,7.5,InAirStream,0.917
PropSys6 Fan-3,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,298.635,68.4,0.65,BrakeHorsePower,5.362,0.388,0.5,InAirStream,0.855
PropSys6 Fan-4,BaseSys6 Fan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,298.795,68.4,0.65,BrakeHorsePower,5.362,0.388,0.5,InAirStream,0.855
PropSys6 Fan-5,BaseSys6 Fan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,307.87,68.4,0.65,BrakeHorsePower,5.362,0.4,0.5,InAirStream,0.855
PropSys6 Fan-6,BaseSys6 Fan-6,VariableSpeedDrive,BaseAirSys6-6,UNDEFINED,605.89,124.404,0.65,BrakeHorsePower,5.362,0.788,1,InAirStream,0.855
PropSys2 Fan,BaseSys2 Fan,ConstantVolume,BaseZnSys2,Apartment Unit 103 Thermal Zn,544.52,-99996,0.5,BrakeHorsePower,1.273,0.219,0.25,InAirStream,0.855
PropSys2 Fan-2,BaseSys2 Fan-2,ConstantVolume,BaseZnSys2-2,Apartment Unit  104 Thermal Zn,609,-99996,0.5,BrakeHorsePower,1.273,0.244,0.25,InAirStream,0.855
PropSys2 Fan-3,BaseSys2 Fan-3,ConstantVolume,BaseZnSys2-3,Apartment Unit  108 Thermal Zn,490.26,-99996,0.5,BrakeHorsePower,1.273,0.197,0.25,InAirStream,0.855
PropSys2 Fan-4,BaseSys2 Fan-4,ConstantVolume,BaseZnSys2-4,Apartment Unit 301 Thermal Zn,767.685,-99996,0.5,BrakeHorsePower,1.273,0.308,0.5,InAirStream,0.855
