; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
CoilHtg 18,BaseSys1 CoilHtg-18,Furnace,BaseZnSys1-18,Thermal Zone: F10 Studio N,6883.231,6883.231,0,0.8,0.81,,,,
PropVAVBox CoilHtg-1,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Thermal Zone: F1 Business Center,9153.65,9153.65,0.45751,-99996,-99996,,,,
PropVAVBox CoilHtg-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6,Thermal Zone: F1 Fitness Center,15400.787,15400.787,0.76975,-99996,-99996,,,,
PropVAVBox CoilHtg-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6,Thermal Zone: F1 Leasing Office,4656.712,4656.712,0.23275,-99996,-99996,,,,
PropVAVBox CoilHtg-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6,Thermal Zone: F1 Lounge,30319.988,30319.988,1.51542,-99996,-99996,,,,
PropVAVBox CoilHtg-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6,Thermal Zone: F1 Retail E Core,22248.281,22248.281,1.11199,-99996,-99996,,,,
PropVAVBox CoilHtg-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6,Thermal Zone: F1 Retail E Outer,27271.188,27271.188,1.36304,-99996,-99996,,,,
PropVAVBox CoilHtg-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6,Thermal Zone: F1 Retail W Core,22322.325,22322.325,1.11569,-99996,-99996,,,,
PropVAVBox CoilHtg-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6,Thermal Zone: F1 Retail W Outer,27271.038,27271.038,1.36303,-99996,-99996,,,,
PropVAVBox CoilHtg-11,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-2,Thermal Zone: F2-9 Corridor,8343.041,8343.041,0.41699,-99996,-99996,,,,
PropVAVBox CoilHtg-12,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-2,Thermal Zone: F2-9 Laundry,1343.433,1343.433,0.06715,-99996,-99996,,,,
PropVAVBox CoilHtg-9,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Thermal Zone: F10 Corridor,12725.587,12725.587,0.63604,-99996,-99996,,,,
PropVAVBox CoilHtg-10,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-3,Thermal Zone: F10 Laundry,1917.875,1917.875,0.09586,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
PropVentOnlyAirSys SupFan,PropVentOnlyAirSys SupFan,ConstantVolume,PropVentOnlyAirSys,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-2,PropVentOnlyAirSys SupFan-2,ConstantVolume,PropVentOnlyAirSys-2,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-3,PropVentOnlyAirSys SupFan-3,ConstantVolume,PropVentOnlyAirSys-3,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-4,PropVentOnlyAirSys SupFan-4,ConstantVolume,PropVentOnlyAirSys-4,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-5,PropVentOnlyAirSys SupFan-5,ConstantVolume,PropVentOnlyAirSys-5,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-6,PropVentOnlyAirSys SupFan-6,ConstantVolume,PropVentOnlyAirSys-6,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-7,PropVentOnlyAirSys SupFan-7,ConstantVolume,PropVentOnlyAirSys-7,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-8,PropVentOnlyAirSys SupFan-8,ConstantVolume,PropVentOnlyAirSys-8,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-9,PropVentOnlyAirSys SupFan-9,ConstantVolume,PropVentOnlyAirSys-9,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-10,PropVentOnlyAirSys SupFan-10,ConstantVolume,PropVentOnlyAirSys-10,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-11,PropVentOnlyAirSys SupFan-11,ConstantVolume,PropVentOnlyAirSys-11,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-12,PropVentOnlyAirSys SupFan-12,ConstantVolume,PropVentOnlyAirSys-12,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-13,PropVentOnlyAirSys SupFan-13,ConstantVolume,PropVentOnlyAirSys-13,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-14,PropVentOnlyAirSys SupFan-14,ConstantVolume,PropVentOnlyAirSys-14,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-15,PropVentOnlyAirSys SupFan-15,ConstantVolume,PropVentOnlyAirSys-15,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-16,PropVentOnlyAirSys SupFan-16,ConstantVolume,PropVentOnlyAirSys-16,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-17,PropVentOnlyAirSys SupFan-17,ConstantVolume,PropVentOnlyAirSys-17,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-18,PropVentOnlyAirSys SupFan-18,ConstantVolume,PropVentOnlyAirSys-18,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan,PropVentOnlyAirSys RetFan,ConstantVolume,PropVentOnlyAirSys,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-2,PropVentOnlyAirSys RetFan-2,ConstantVolume,PropVentOnlyAirSys-2,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-3,PropVentOnlyAirSys RetFan-3,ConstantVolume,PropVentOnlyAirSys-3,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-4,PropVentOnlyAirSys RetFan-4,ConstantVolume,PropVentOnlyAirSys-4,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-5,PropVentOnlyAirSys RetFan-5,ConstantVolume,PropVentOnlyAirSys-5,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-6,PropVentOnlyAirSys RetFan-6,ConstantVolume,PropVentOnlyAirSys-6,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-7,PropVentOnlyAirSys RetFan-7,ConstantVolume,PropVentOnlyAirSys-7,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-8,PropVentOnlyAirSys RetFan-8,ConstantVolume,PropVentOnlyAirSys-8,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-9,PropVentOnlyAirSys RetFan-9,ConstantVolume,PropVentOnlyAirSys-9,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-10,PropVentOnlyAirSys RetFan-10,ConstantVolume,PropVentOnlyAirSys-10,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-11,PropVentOnlyAirSys RetFan-11,ConstantVolume,PropVentOnlyAirSys-11,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-12,PropVentOnlyAirSys RetFan-12,ConstantVolume,PropVentOnlyAirSys-12,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-13,PropVentOnlyAirSys RetFan-13,ConstantVolume,PropVentOnlyAirSys-13,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-14,PropVentOnlyAirSys RetFan-14,ConstantVolume,PropVentOnlyAirSys-14,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-15,PropVentOnlyAirSys RetFan-15,ConstantVolume,PropVentOnlyAirSys-15,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-16,PropVentOnlyAirSys RetFan-16,ConstantVolume,PropVentOnlyAirSys-16,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-17,PropVentOnlyAirSys RetFan-17,ConstantVolume,PropVentOnlyAirSys-17,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-18,PropVentOnlyAirSys RetFan-18,ConstantVolume,PropVentOnlyAirSys-18,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,9791.15,3259.903,0.65,BrakeHorsePower,5.362,12.728,15,InAirStream,0.924
PropSys6 Fan-2,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,575.361,206.896,0.65,BrakeHorsePower,5.362,0.748,0.75,InAirStream,0.855
PropSys6 Fan-3,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,677.24,208.3,0.65,BrakeHorsePower,5.362,0.88,1,InAirStream,0.855
Fan 1,BaseSys1 Fan,ConstantVolume,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,257.036,-99996,0.5,BrakeHorsePower,1.637,0.133,0.25,InAirStream,0.855
Fan 6,BaseSys1 Fan-2,ConstantVolume,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,413.043,-99996,0.5,BrakeHorsePower,1.637,0.213,0.25,InAirStream,0.855
Fan 7,BaseSys1 Fan-3,ConstantVolume,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,406.723,-99996,0.5,BrakeHorsePower,1.637,0.21,0.25,InAirStream,0.855
Fan 8,BaseSys1 Fan-4,ConstantVolume,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,325.427,-99996,0.5,BrakeHorsePower,1.637,0.168,0.25,InAirStream,0.855
Fan 9,BaseSys1 Fan-5,ConstantVolume,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,511.819,-99996,0.5,BrakeHorsePower,1.637,0.264,0.5,InAirStream,0.855
Fan 10,BaseSys1 Fan-6,ConstantVolume,BaseZnSys1-6,Thermal Zone: F2-9 2-Bed NW,717.055,-99996,0.5,BrakeHorsePower,1.637,0.37,0.5,InAirStream,0.855
Fan 11,BaseSys1 Fan-7,ConstantVolume,BaseZnSys1-7,Thermal Zone: F2-9 2-Bed SE,661.198,-99996,0.5,BrakeHorsePower,1.637,0.341,0.5,InAirStream,0.855
Fan 12,BaseSys1 Fan-8,ConstantVolume,BaseZnSys1-8,Thermal Zone: F2-9 2-Bed SW,776.625,-99996,0.5,BrakeHorsePower,1.637,0.401,0.5,InAirStream,0.855
