;,,,,,,,,,,,,,
TABLE OffLrgCECStd19040012TrmlUnit,,,,,,,,,,,,,
BaseSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,26125.87,5752.946,0.65,BrakeHorsePower,5.362,33.964,40,InAirStream,0.941
BaseSys6 Fan-Bot,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,28382.82,6569.312,0.65,BrakeHorsePower,5.362,36.898,40,InAirStream,0.941
BaseSys6 Fan-Mid,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,31326.342,7090.732,0.65,BrakeHorsePower,5.362,40.724,50,InAirStream,0.945
BaseSys6 Fan-Hi,BaseSys6 Fan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,31278.452,7077.338,0.65,BrakeHorsePower,5.362,40.662,50,InAirStream,0.945
BaseSys6 Fan-Top,BaseSys6 Fan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,29620.68,6899.256,0.65,BrakeHorsePower,5.362,38.507,40,InAirStream,0.941
ENDTABLE,,,,,,,,,,,,,
TABLE OffLrgCECStd19040012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,DifferentialDryBulb,BaseAirSys6,Integrated,,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,DifferentialDryBulb,BaseAirSys6-2,Integrated,,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,DifferentialDryBulb,BaseAirSys6-3,Integrated,,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,DifferentialDryBulb,BaseAirSys6-4,Integrated,,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,DifferentialDryBulb,BaseAirSys6-5,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
