;,,,,,,,,,,,,,,
TABLE HotSmlCECStd25070012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
GuestRoom313_SZAC CoilClg,BaseSys1 CoilClg-20,DirectExpansion,BaseZnSys1-20,GuestRoom313 Thermal Zone,5163.1,5386.717,-99996,15.053,12.188,-99996,,,,
GuestRoom314_SZAC CoilClg,BaseSys1 CoilClg-21,DirectExpansion,BaseZnSys1-21,GuestRoom314 Thermal Zone,5162.344,5385.928,-99996,15.053,12.188,-99996,,,,
GuestRoom315_318_SZAC CoilClg,BaseSys1 CoilClg-22,DirectExpansion,BaseZnSys1-22,GuestRoom315_318 Thermal Zone,4734.039,4939.073,-99996,15.053,12.188,-99996,,,,
GuestRoom319_SZAC CoilClg,BaseSys1 CoilClg-23,DirectExpansion,BaseZnSys1-23,GuestRoom319 Thermal Zone,5134.643,5357.027,-99996,15.053,12.188,-99996,,,,
GuestRoom320_323_SZAC CoilClg,BaseSys1 CoilClg-24,DirectExpansion,BaseZnSys1-24,GuestRoom320_323 Thermal Zone,4690.426,4893.572,-99996,15.053,12.188,-99996,,,,
GuestRoom324_SZAC CoilClg,BaseSys1 CoilClg-25,DirectExpansion,BaseZnSys1-25,GuestRoom324 Thermal Zone,5111.981,5333.384,-99996,15.053,12.188,-99996,,,,
GuestRoom401_SZAC CoilClg,BaseSys1 CoilClg-26,DirectExpansion,BaseZnSys1-26,GuestRoom401 Thermal Zone,7963.94,8308.863,-99996,15.053,12.188,-99996,,,,
GuestRoom402_405_SZAC CoilClg,BaseSys1 CoilClg-27,DirectExpansion,BaseZnSys1-27,GuestRoom402_405 Thermal Zone,6071.128,6334.072,-99996,15.053,12.188,-99996,,,,
GuestRoom406_408_SZAC CoilClg,BaseSys1 CoilClg-28,DirectExpansion,BaseZnSys1-28,GuestRoom406_408 Thermal Zone,6676.82,6965.997,-99996,15.053,12.188,-99996,,,,
GuestRoom409_412_SZAC CoilClg,BaseSys1 CoilClg-29,DirectExpansion,BaseZnSys1-29,GuestRoom409_412 Thermal Zone,6053.286,6315.457,-99996,15.053,12.188,-99996,,,,
