;,,,,,,,,,,,,,,
TABLE OffLrgCECStd25040012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,75547.22,75547.22,6.04148,-99996,-99996,,,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-4,Core_hi Thermal Zone,298376.38,298376.38,23.86104,-99996,-99996,,,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,116689.64,116689.64,9.33163,-99996,-99996,,,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,77603.13,77603.13,6.20589,-99996,-99996,,,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,116855.215,116855.215,9.34487,-99996,-99996,,,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,77715.355,77715.355,6.21487,-99996,-99996,,,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys6-5,Core_top Thermal Zone,527093.475,527093.475,42.15146,-99996,-99996,,,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,142716.1,142716.1,11.41295,-99996,-99996,,,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys6-5,Perimeter_top_ZN_2 Thermal Zone,94275.688,94275.688,7.53919,-99996,-99996,,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys6-5,Perimeter_top_ZN_3 Thermal Zone,142855.713,142855.713,11.42412,-99996,-99996,,,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys6-5,Perimeter_top_ZN_4 Thermal Zone,94367.275,94367.275,7.54651,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd25040012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
BaseSys6 Fan,BaseSys6 SupFan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,24707.12,5752.946,0.65,PowerPerUnitFlow,2.795,16.741,20,InAirStream,0.93,0.5432
BaseSys6 Fan-Bot,BaseSys6 SupFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,27512.79,5752.946,0.65,PowerPerUnitFlow,2.765,18.442,20,InAirStream,0.93,0.5374
BaseSys6 Fan-Mid,BaseSys6 SupFan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,30093.264,5752.946,0.65,PowerPerUnitFlow,4.924,35.929,40,InAirStream,0.941,0.946
BaseSys6 Fan-Hi,BaseSys6 SupFan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,30032.748,5752.946,0.65,PowerPerUnitFlow,4.924,35.857,40,InAirStream,0.941,0.946
BaseSys6 Fan-Top,BaseSys6 SupFan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,28922.78,5752.946,0.65,PowerPerUnitFlow,2.562,17.962,20,InAirStream,0.93,0.4979
BaseSys6 RetFan,BaseSys RetFan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,22236.408,0,0.65,PowerPerUnitFlow,2.795,15.067,20,InAirStream,0.93,0.5432
BaseSys6 RetFan-Bot,BaseSys RetFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,24761.511,0,0.65,PowerPerUnitFlow,2.765,16.598,20,InAirStream,0.93,0.5374
BaseSys6 RetFan-Top,BaseSys RetFan-3,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,26030.502,0,0.65,PowerPerUnitFlow,2.562,16.166,20,InAirStream,0.93,0.4979
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd25040012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,FixedDryBulb,BaseAirSys6,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,FixedDryBulb,BaseAirSys6-2,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,FixedDryBulb,BaseAirSys6-3,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,FixedDryBulb,BaseAirSys6-4,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,FixedDryBulb,BaseAirSys6-5,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
