;,,,,,,,,,,,,,,
TABLE RetlLrgCECStd25090012TrmlUnit,,,,,,,,,,,,,,
Back_Storage_SupplyFan,BaseSys7or3b SupFan-3,VariableSpeedDrive,BaseAirSys7or3b-3,n/a,4309.654,2154.827,0.65,PowerPerUnitFlow,3.674,3.839,5,InAirStream,0.895,0.742
Main_Entry_SupplyFan,BaseSys7or3b SupFan-4,VariableSpeedDrive,BaseAirSys7or3b-4,n/a,4736.952,2368.476,0.65,PowerPerUnitFlow,3.674,4.219,5,InAirStream,0.895,0.742
Registers/Aisle_SupplyFan,BaseSys7or3b SupFan-5,VariableSpeedDrive,BaseAirSys7or3b-5,n/a,9019.747,4509.873,0.65,PowerPerUnitFlow,3.652,7.987,10,InAirStream,0.917,0.72
Side_Entry_1_SupplyFan,BaseSys7or3b SupFan-6,VariableSpeedDrive,BaseAirSys7or3b-6,n/a,4650.109,2325.054,0.65,PowerPerUnitFlow,3.674,4.142,5,InAirStream,0.895,0.742
Side_Entry_2_SupplyFan,BaseSys7or3b SupFan-7,VariableSpeedDrive,BaseAirSys7or3b-7,n/a,4802.811,2401.406,0.65,PowerPerUnitFlow,3.674,4.278,5,InAirStream,0.895,0.742
Side_Shelving_East_SupplyFan,BaseSys7or3b SupFan-8,VariableSpeedDrive,BaseAirSys7or3b-8,n/a,8905.396,4452.698,0.65,PowerPerUnitFlow,3.652,7.886,10,InAirStream,0.917,0.72
Side_Shelving_West_SupplyFan,BaseSys7or3b SupFan-9,VariableSpeedDrive,BaseAirSys7or3b-9,n/a,8852.853,4426.426,0.65,PowerPerUnitFlow,3.652,7.839,10,InAirStream,0.917,0.72
Side_Storage_1_SupplyFan,BaseSys7or3b SupFan-10,VariableSpeedDrive,BaseAirSys7or3b-10,n/a,3869.411,1934.705,0.65,PowerPerUnitFlow,3.674,3.446,5,InAirStream,0.895,0.742
Side_Storage_2_SupplyFan,BaseSys7or3b SupFan-11,VariableSpeedDrive,BaseAirSys7or3b-11,n/a,4562.887,2281.444,0.65,PowerPerUnitFlow,3.674,4.064,5,InAirStream,0.895,0.742
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlLrgCECStd25090012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7or3b OACtrl-2,FixedDryBulb,BaseAirSys7or3b-2,Integrated,,,,,,,,,,
Back_Storage_OACtrl,BaseSys7or3b OACtrl-3,FixedDryBulb,BaseAirSys7or3b-3,Integrated,,,,,,,,,,
Main_Entry_OACtrl,BaseSys7or3b OACtrl-4,FixedDryBulb,BaseAirSys7or3b-4,Integrated,,,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7or3b OACtrl-5,FixedDryBulb,BaseAirSys7or3b-5,Integrated,,,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7or3b OACtrl-6,FixedDryBulb,BaseAirSys7or3b-6,Integrated,,,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7or3b OACtrl-7,FixedDryBulb,BaseAirSys7or3b-7,Integrated,,,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7or3b OACtrl-8,FixedDryBulb,BaseAirSys7or3b-8,Integrated,,,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7or3b OACtrl-9,FixedDryBulb,BaseAirSys7or3b-9,Integrated,,,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7or3b OACtrl-10,FixedDryBulb,BaseAirSys7or3b-10,Integrated,,,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7or3b OACtrl-11,FixedDryBulb,BaseAirSys7or3b-11,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
