;,,,,,,,,,,,,,,
TABLE HotSmlCECStd22070012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
GuestRoom209_212_SZAC CoilClg,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,4614.018,4813.854,-99996,15.053,12.188,-99996,,,,
GuestRoom213_SZAC CoilClg,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,GuestRoom213 Thermal Zone,5090.321,5310.786,-99996,15.053,12.188,-99996,,,,
GuestRoom214_SZAC CoilClg,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,GuestRoom214 Thermal Zone,5088.901,5309.305,-99996,15.053,12.188,-99996,,,,
GuestRoom215_218_SZAC CoilClg,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,4604.515,4803.939,-99996,15.053,12.188,-99996,,,,
GuestRoom219_SZAC CoilClg,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,GuestRoom219 Thermal Zone,5019.043,5236.42,-99996,15.053,12.188,-99996,,,,
GuestRoom220_223_SZAC CoilClg,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,4557.71,4755.107,-99996,15.053,12.188,-99996,,,,
GuestRoom224_SZAC CoilClg,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,GuestRoom224 Thermal Zone,4999.354,5215.879,-99996,15.053,12.188,-99996,,,,
GuestRoom301_SZAC CoilClg,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,GuestRoom301 Thermal Zone,6752.52,7044.976,-99996,15.053,12.188,-99996,,,,
GuestRoom302_305_SZAC CoilClg,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,GuestRoom302_305 Thermal Zone,4762.812,4969.092,-99996,15.053,12.188,-99996,,,,
GuestRoom306_308_SZAC CoilClg,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,GuestRoom306_308 Thermal Zone,5198.05,5423.181,-99996,15.053,12.188,-99996,,,,
GuestRoom309_312_SZAC CoilClg,BaseSys1 CoilClg-19,DirectExpansion,BaseZnSys1-19,GuestRoom309_312 Thermal Zone,4742.136,4947.52,-99996,15.053,12.188,-99996,,,,
GuestRoom313_SZAC CoilClg,BaseSys1 CoilClg-20,DirectExpansion,BaseZnSys1-20,GuestRoom313 Thermal Zone,5165.614,5389.34,-99996,15.053,12.188,-99996,,,,
GuestRoom314_SZAC CoilClg,BaseSys1 CoilClg-21,DirectExpansion,BaseZnSys1-21,GuestRoom314 Thermal Zone,5164.958,5388.655,-99996,15.053,12.188,-99996,,,,
GuestRoom315_318_SZAC CoilClg,BaseSys1 CoilClg-22,DirectExpansion,BaseZnSys1-22,GuestRoom315_318 Thermal Zone,4733.436,4938.444,-99996,15.053,12.188,-99996,,,,
GuestRoom319_SZAC CoilClg,BaseSys1 CoilClg-23,DirectExpansion,BaseZnSys1-23,GuestRoom319 Thermal Zone,5136.862,5359.343,-99996,15.053,12.188,-99996,,,,
GuestRoom320_323_SZAC CoilClg,BaseSys1 CoilClg-24,DirectExpansion,BaseZnSys1-24,GuestRoom320_323 Thermal Zone,4688.914,4891.993,-99996,15.053,12.188,-99996,,,,
GuestRoom324_SZAC CoilClg,BaseSys1 CoilClg-25,DirectExpansion,BaseZnSys1-25,GuestRoom324 Thermal Zone,5113.542,5335.013,-99996,15.053,12.188,-99996,,,,
GuestRoom401_SZAC CoilClg,BaseSys1 CoilClg-26,DirectExpansion,BaseZnSys1-26,GuestRoom401 Thermal Zone,7899.535,8241.669,-99996,15.053,12.188,-99996,,,,
GuestRoom402_405_SZAC CoilClg,BaseSys1 CoilClg-27,DirectExpansion,BaseZnSys1-27,GuestRoom402_405 Thermal Zone,6008.042,6268.254,-99996,15.053,12.188,-99996,,,,
GuestRoom406_408_SZAC CoilClg,BaseSys1 CoilClg-28,DirectExpansion,BaseZnSys1-28,GuestRoom406_408 Thermal Zone,6606.95,6893.101,-99996,15.053,12.188,-99996,,,,
GuestRoom409_412_SZAC CoilClg,BaseSys1 CoilClg-29,DirectExpansion,BaseZnSys1-29,GuestRoom409_412 Thermal Zone,5987.754,6247.087,-99996,15.053,12.188,-99996,,,,
GuestRoom413_SZAC CoilClg,BaseSys1 CoilClg-30,DirectExpansion,BaseZnSys1-30,GuestRoom413 Thermal Zone,6181.242,6448.955,-99996,15.053,12.188,-99996,,,,
GuestRoom414_SZAC CoilClg,BaseSys1 CoilClg-31,DirectExpansion,BaseZnSys1-31,GuestRoom414 Thermal Zone,5541.56,5781.569,-99996,15.053,12.188,-99996,,,,
GuestRoom415_418_SZAC CoilClg,BaseSys1 CoilClg-32,DirectExpansion,BaseZnSys1-32,GuestRoom415_418 Thermal Zone,5304.033,5533.754,-99996,15.053,12.188,-99996,,,,
GuestRoom419_SZAC CoilClg,BaseSys1 CoilClg-33,DirectExpansion,BaseZnSys1-33,GuestRoom419 Thermal Zone,5529.186,5768.659,-99996,15.053,12.188,-99996,,,,
GuestRoom420_423_SZAC CoilClg,BaseSys1 CoilClg-34,DirectExpansion,BaseZnSys1-34,GuestRoom420_423 Thermal Zone,5291.439,5520.614,-99996,15.053,12.188,-99996,,,,
GuestRoom424_SZAC CoilClg,BaseSys1 CoilClg-35,DirectExpansion,BaseZnSys1-35,GuestRoom424 Thermal Zone,5487.39,5725.052,-99996,15.053,12.188,-99996,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE HotSmlCECStd22070012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,UNDEFINED,71279.788,71279.788,3.56264,-99996,-99996,,,,,
BaseSys5 CoilHtg-2,BaseSys5 CoilHtg-2,HotWater,BaseAirSys5-2,UNDEFINED,9825.75,9825.75,0.4911,-99996,-99996,,,,,
BaseSys5 CoilHtg-3,BaseSys5 CoilHtg-3,HotWater,BaseAirSys5-3,UNDEFINED,9989.163,9989.163,0.49927,-99996,-99996,,,,,
BaseSys5 CoilHtg-4,BaseSys5 CoilHtg-4,HotWater,BaseAirSys5-4,UNDEFINED,13647.137,13647.137,0.6821,-99996,-99996,,,,,
GuestRoom101_SZAC CoilHtg,BaseSys1 CoilHtg,Furnace,BaseZnSys1,GuestRoom101 Thermal Zone,7060.063,7060.063,0,0.8,0.81,,,,,
GuestRoom102_SZAC CoilHtg,BaseSys1 CoilHtg-2,Furnace,BaseZnSys1-2,GuestRoom102 Thermal Zone,7078.95,7078.95,0,0.8,0.81,,,,,
GuestRoom103_SZAC CoilHtg,BaseSys1 CoilHtg-3,Furnace,BaseZnSys1-3,GuestRoom103 Thermal Zone,7119.313,7119.313,0,0.8,0.81,,,,,
GuestRoom104_SZAC CoilHtg,BaseSys1 CoilHtg-4,Furnace,BaseZnSys1-4,GuestRoom104 Thermal Zone,7116.888,7116.888,0,0.8,0.81,,,,,
GuestRoom105_SZAC CoilHtg,BaseSys1 CoilHtg-5,Furnace,BaseZnSys1-5,GuestRoom105 Thermal Zone,7075.438,7075.438,0,0.8,0.81,,,,,
GuestRoom201_SZAC CoilHtg,BaseSys1 CoilHtg-6,Furnace,BaseZnSys1-6,GuestRoom201 Thermal Zone,7693.962,7693.962,0,0.8,0.81,,,,,
GuestRoom202_205_SZAC CoilHtg,BaseSys1 CoilHtg-7,Furnace,BaseZnSys1-7,GuestRoom202_205 Thermal Zone,5492.519,5492.519,0,0.8,0.81,,,,,
GuestRoom206_208_SZAC CoilHtg,BaseSys1 CoilHtg-8,Furnace,BaseZnSys1-8,GuestRoom206_208 Thermal Zone,5934.096,5934.096,0,0.8,0.81,,,,,
GuestRoom209_212_SZAC CoilHtg,BaseSys1 CoilHtg-9,Furnace,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,5456.419,5456.419,0,0.8,0.81,,,,,
GuestRoom213_SZAC CoilHtg,BaseSys1 CoilHtg-10,Furnace,BaseZnSys1-10,GuestRoom213 Thermal Zone,6019.675,6019.675,0,0.8,0.81,,,,,
GuestRoom214_SZAC CoilHtg,BaseSys1 CoilHtg-11,Furnace,BaseZnSys1-11,GuestRoom214 Thermal Zone,6018.012,6018.012,0,0.8,0.81,,,,,
GuestRoom215_218_SZAC CoilHtg,BaseSys1 CoilHtg-12,Furnace,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,5445.178,5445.178,0,0.8,0.81,,,,,
GuestRoom219_SZAC CoilHtg,BaseSys1 CoilHtg-13,Furnace,BaseZnSys1-13,GuestRoom219 Thermal Zone,5935.388,5935.388,0,0.8,0.81,,,,,
GuestRoom220_223_SZAC CoilHtg,BaseSys1 CoilHtg-14,Furnace,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,5389.831,5389.831,0,0.8,0.81,,,,,
GuestRoom224_SZAC CoilHtg,BaseSys1 CoilHtg-15,Furnace,BaseZnSys1-15,GuestRoom224 Thermal Zone,5912.112,5912.112,0,0.8,0.81,,,,,
