; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10117,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.26799017,100,2.476108725,83.96987228,100,2.476108725,84.26799017,100,2.476108725,84.26799017,100,2.476108725,84.26799017,100,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.80625858,100,2.476108725,84.26799017,100,2.476108725,84.26799017,100,2.476108725,84.26799017,100
10118,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.26799017,100,4.196720989,83.96987228,100,4.196720989,84.26799017,100,4.196720989,84.26799017,100,4.196720989,84.26799017,100,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.80625858,100,4.196720989,84.26799017,100,4.196720989,84.26799017,100,4.196720989,84.26799017,100
10119,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10120,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10121,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10122,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10123,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10124,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,83.96987228,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.80625858,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100,5.508317485,84.26799017,100
10201,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10202,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
