;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10203,4.6194955,103.11,100,4.6194955,103.11,100,4.6194955,103.11,100,4.6194955,103.11,100,4.6194955,103.11,100,4.7812717,101.66,100,4.7812717,101.66,100,4.7812717,101.66,100,4.7812717,101.66,100,4.7812717,101.66,100,4.6194955,103.11,100,4.6194955,103.11,100,4.6194955,103.11,100,4.7812717,101.66,100,4.7812717,101.66,100,4.7812717,101.66,100
10204,4.5921915,103.11,100,4.5921915,103.11,100,4.5921915,103.11,100,4.5921915,103.11,100,4.5921915,103.11,100,4.7154008,101.66,100,4.7154008,101.66,100,4.7154008,101.66,100,4.7154008,101.66,100,4.7154008,101.66,100,4.5921915,103.11,100,4.5921915,103.11,100,4.5921915,103.11,100,4.7154008,101.66,100,4.7154008,101.66,100,4.7154008,101.66,100
10205,4.8177908,103.11,100,4.8177908,103.11,100,4.8177908,103.11,100,4.8177908,103.11,100,4.8177908,103.11,100,4.9311024,101.66,100,4.9311024,101.66,100,4.9311024,101.66,100,4.9311024,101.66,100,4.9311024,101.66,100,4.8177908,103.11,100,4.8177908,103.11,100,4.8177908,103.11,100,4.9311024,101.66,100,4.9311024,101.66,100,4.9311024,101.66,100
10206,6.4208769,103.11,100,6.4208769,103.11,100,6.4208769,103.11,100,6.4208769,103.11,100,6.4208769,103.11,100,5.8997118,101.66,100,5.8997118,101.66,100,5.8997118,101.66,100,5.8997118,101.66,100,5.8997118,101.66,100,6.4208769,103.11,100,6.4208769,103.11,100,6.4208769,103.11,100,5.8997118,101.66,100,5.8997118,101.66,100,5.8997118,101.66,100
10207,6.709958,103.11,100,6.709958,103.11,100,6.709958,103.11,100,6.709958,103.11,100,6.709958,103.11,100,6.6184896,101.66,100,6.6184896,101.66,100,6.6184896,101.66,100,6.6184896,101.66,100,6.6184896,101.66,100,6.709958,103.11,100,6.709958,103.11,100,6.709958,103.11,100,6.6184896,101.66,100,6.6184896,101.66,100,6.6184896,101.66,100
10208,6.7058624,103.11,100,6.7058624,103.11,100,6.7058624,103.11,100,6.7058624,103.11,100,6.7058624,103.11,100,6.4553482,101.66,100,6.4553482,101.66,100,6.4553482,101.66,100,6.4553482,101.66,100,6.4553482,101.66,100,6.7058624,103.11,100,6.7058624,103.11,100,6.7058624,103.11,100,6.4553482,101.66,100,6.4553482,101.66,100,6.4553482,101.66,100
10209,6.4133683,103.11,100,6.4133683,103.11,100,6.4133683,103.11,100,6.4133683,103.11,100,6.4133683,103.11,100,4.7938998,101.66,100,4.7938998,101.66,100,4.7938998,101.66,100,4.7938998,101.66,100,4.7938998,101.66,100,6.4133683,103.11,100,6.4133683,103.11,100,6.4133683,103.11,100,4.7938998,101.66,100,4.7938998,101.66,100,4.7938998,101.66,100
10210,4.5519181,103.11,100,4.5519181,103.11,100,4.5519181,103.11,100,4.5519181,103.11,100,4.5519181,103.11,100,3.8263143,101.66,100,3.8263143,101.66,100,3.8263143,101.66,100,3.8263143,101.66,100,3.8263143,101.66,100,4.5519181,103.11,100,4.5519181,103.11,100,4.5519181,103.11,100,3.8263143,101.66,100,3.8263143,101.66,100,3.8263143,101.66,100
10211,4.0519136,103.11,100,4.0519136,103.11,100,4.0519136,103.11,100,4.0519136,103.11,100,4.0519136,103.11,100,3.4188021,101.66,100,3.4188021,101.66,100,3.4188021,101.66,100,3.4188021,101.66,100,3.4188021,101.66,100,4.0519136,103.11,100,4.0519136,103.11,100,4.0519136,103.11,100,3.4188021,101.66,100,3.4188021,101.66,100,3.4188021,101.66,100
10212,3.4727275,103.11,100,3.4727275,103.11,100,3.4727275,103.11,100,3.4727275,103.11,100,3.4727275,103.11,100,3.2874016,101.66,100,3.2874016,101.66,100,3.2874016,101.66,100,3.2874016,101.66,100,3.2874016,101.66,100,3.4727275,103.11,100,3.4727275,103.11,100,3.4727275,103.11,100,3.2874016,101.66,100,3.2874016,101.66,100,3.2874016,101.66,100
