;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2011115B,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 10L CPC 58,1.836,0.609,-1.051,,,,,
,2011115C,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 12L CPC 58,2.194,0.609,-1.051,,,,,
,2011115D,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 14L CPC 58,2.551,0.609,-1.051,,,,,
,2011115E,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 16L CPC 58,2.909,0.609,-1.051,,,,,
,2011115F,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 18L CPC 58,3.266,0.609,-1.051,,,,,
,2011115G,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 20L CPC 58,3.624,0.609,-1.051,,,,,
,2011115A,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1500,SKY PRO 8L CPC 58,1.479,0.609,-1.051,,,,,
,2011125A,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 10 CPC 58,2.166,0.624,-0.975,,,,,
,2011125B,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 12 CPC 58,2.589,0.624,-0.975,,,,,
,2011125C,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 14 CPC 58,3.013,0.624,-0.975,,,,,
,2011125D,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 16 CPC 58,3.436,0.624,-0.975,,,,,
,2011125E,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 18 CPC 58,3.86,0.624,-0.975,,,,,
,2011125F,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 20 CPC 58,4.283,0.624,-0.975,,,,,
,2011125G,Kloben Sud S.r.l.,Solar Collectors Sky Pro 1800,SKY PRO 22 CPC 58,4.707,0.624,-0.975,,,,,
,2010061B,"Lochinvar, LLC",Lochinvar/TiSun,SCH065,6.1,0.732,-4.068,,,,,
,2010061A,"Lochinvar, LLC",Lochinvar/TiSun,SCH090,8.076,0.714,-3.96,,,,,
,2010061C,"Lochinvar, LLC",Lochinvar/TiSun,SCH110,10.1,0.738,-4.098,,,,,
,2010061D,"Lochinvar, LLC",Lochinvar/TiSun,SCH130,12.1,0.737,-4.087,,,,,
,2010062A,"Lochinvar, LLC",Lochinvar/TiSun,SLV030 / SLH030,2.552,0.739,-4.097,,,,,
,10001946,Magen Eco-Energy,eco - Flare PRO,eco - Flare PRO,2.117,0.572,-5.409,,,,,
,10001736,Magen Eco-Energy,eco - Spark,Spark 30,2.866,0.743,-17.788,,,,,
,10001735,Magen Eco-Energy,eco - Spark,Spark 40,3.961,0.743,-16.858,,,,,
,2011010A,Magen Eco-Energy,eco FLARE,3M,2.25,0.545,-6.213,,,,,
,10002177,"MC Green Solutions, LLC",MC Green,MCG-18,1.68,0.682,-5.324,; added RJH 11/13/24,,,,
,2007070A,Modern Market Inc.,Good Friend Solar Water Heater,GD150-25,2.973,0.368,-1.638,,,,,
,2011002A,Modulo Solar SA de CV,MAXOL FULL PLATE 2.0,FP 1.20.0 LE sc,2.031,0.67,-4.404,,,,,
,2011118A,Modulo Solar SA de CV,Modulo Solar,Maxol MS 2.5,2.506,0.708,-4.265,,,,,
,10002115,Naked Energy Ltd,Virtu HOT,Virtu HOT,0.65,0.438,-2.278,; added - SAC 05/11/21,,,,
,10002116,Naked Energy Ltd,Virtu HOT HD,Virtu HOT HD,0.47,0.587,-3.124,; added - SAC 05/11/21,,,,
,2008040A,"Next Generation Energy, LLC","Next Generation Energy, LLC",NGE-216-TU,2.334,0.488,-1.461,,,,,
,2008040B,"Next Generation Energy, LLC","Next Generation Energy, LLC",NGE-224-TU,3.477,0.488,-1.461,,,,,
,2010088A,Nimrod Industries Ltd.,Nimrod Industries Ltd.,NIM15,1.695,0.625,-5.706,,,,,
,2010088B,Nimrod Industries Ltd.,Nimrod Industries Ltd.,NIM21,2.362,0.639,-5.81,,,,,
,2010088C,Nimrod Industries Ltd.,Nimrod Industries Ltd.,NIM23,2.442,0.654,-5.941,,,,,
,2010088D,Nimrod Industries Ltd.,Nimrod Industries Ltd.,NIM25,2.81,0.64,-5.806,,,,,
,2010051A,NY Thermal Inc. (NTI),NTI,SRT-215,2.152,0.699,-4.142,,,,,
,2011064B,Oventrop Corporation,OKP,OKP-10,1.835,0.343,-2.829,,,,,
,2011064A,Oventrop Corporation,OKP,OKP-20,3.392,0.343,-2.829,,,,,
,2010034A,Oventrop Corporation,Oventrop Corporation,540 00 18-LI,2.038,0.671,-5.473,,,,,
,2010033A,Oventrop Corporation,Oventrop Corporation,540 00 18-TT,2.038,0.636,-5.259,,,,,
,2006028A,Oventrop Corporation,Oventrop Solar,OV 10-10 AS/AB,1.679,0.462,-1.565,,,,,
,2006028B,Oventrop Corporation,Oventrop Solar,OV 10-20 AS/AB,3.394,0.462,-1.565,,,,,
,2006027B,Oventrop Corporation,Oventrop Solar,OV 5-16 AS/AB,4.097,0.492,-1.924,,,,,
,2006027C,Oventrop Corporation,Oventrop Solar,OV 5-24 AS/AB,6.124,0.492,-1.924,,,,,
,2006027A,Oventrop Corporation,Oventrop Solar,OV 5-8 AS/AB,2.028,0.492,-1.924,,,,,
,10001965,Oventrop Corporation,OVF-21,5400307,1.997,0.713,-5.892,,,,,
,10001966,Oventrop Corporation,OVF-32,5400408,3.035,0.733,-6.007,,,,,
,10001967,Oventrop Corporation,OVF-40,5400410,3.777,0.737,-6.029,,,,,
,2007063A,Pacific West Solar,Freeze Safe,FS410,3.871,0.666,-5.155,,,,,
,10002176A,Papaemmanouel S.A.,FMAX,"1.50, 1.50H",1.51,0.75,-4.308,; added RJH 11/13/24,,,,
,10002176B,Papaemmanouel S.A.,FMAX,"1.82, 1.82H",1.82,0.785,-4.775,; added RJH 11/13/24,,,,
,10002176C,Papaemmanouel S.A.,FMAX,"2.0, 2.00H",2,0.772,-4.778,; added RJH 11/13/24,,,,
,10002176D,Papaemmanouel S.A.,FMAX,"2.37, 2.37H",2.37,0.78,-4.804,; added RJH 11/13/24,,,,
,10002176E,Papaemmanouel S.A.,FMAX,"2.72, 2.72H",2.72,0.761,-3.777,; added RJH 11/13/24,,,,
,10002190,Papaemmanouel S.A.,FMAX TOP,2.72,2.73,0.784,-3.66,; added RJH 11/13/24,,,,
,10002191,Papaemmanouel S.A.,MTEC,2.72,2.726,0.804,-3.86,; added RJH 11/13/24,,,,
,10002174,Papaemmanouel S.A.,OLC,200,2.005,0.667,-4.57,; added RJH 11/13/24,,,,
,2011090A,Papaemmanouel S.A.,Solar Flame,ASL0580.S86RS-1.5m2,1.499,0.678,-4.311,,,,,
,2011090B,Papaemmanouel S.A.,Solar Flame,ASL0580.S86RS-1.82m2,1.822,0.687,-4.321,,,,,
,2011090C,Papaemmanouel S.A.,Solar Flame,ASL0580.S86RS-2.0m2,2.004,0.684,-4.303,,,,,
,2011090D,Papaemmanouel S.A.,Solar Flame,ASL0580.S86RS-2.37m2,2.374,0.693,-4.314,,,,,
,2011090E,Papaemmanouel S.A.,Solar Flame,ASL0580.S86RS-2.72m2,2.722,0.695,-4.308,,,,,
,10001921,Papaemmanouel S.A.,SOLAR FLAME,US-SOL_2.72m2,2.72,0.759,-4.425,,,,,
,10001922,Papaemmanouel S.A.,SOLAR FLAME,US-SOL_2.72m2 HORIZONTAL,2.72,0.751,-4.384,,,,,
,10002061,Photonomi Global Group,HONE,501 Gen 5,1.68,0.745,-2.381,,,,,
,10001931,"PIEP Solar Technology Co., Ltd.",PIEP,PIEP1020-N01A,2,0.682,-4.593,,,,,
,10002172A,Pleion SpA,EGO,220,2.77,0.79,-4.008,; added RJH 11/13/24,,,,
,10002172B,Pleion SpA,EGO,260,3.185,0.799,-4.556,; added RJH 11/13/24,,,,
,10002045,R&R Solar Supply,SunPro,SunPro21,1.929,0.673,-6.439,,,,,
,10002043,R&R Solar Supply,SunPro,SunPro24,2.201,0.673,-6.439,,,,,
,10001727,R&R Solar Supply,SunPro,SunPro32,2.954,0.673,-6.439,; added - SAC 05/11/21,,,,
,10002044,R&R Solar Supply,SunPro,SunPro40,3.684,0.673,-6.439,,,,,
,10001859,R&R Solar Supply,SunStar,SS-40T,3.764,0.737,-6.026,,,,,
,2011088A,RG Resource Technologies,Power Panel,MODEL T1,0.985,0.539,-10.269,"; renamed manufacturer, was: Power Panel Inc. - SAC 05/11/21",,,,
,2012015A,RG Resource Technologies,Power Panel,PVT1,0.985,0.751,-3.57,,,,,
,10001806,Rheem Water Heaters,Rheem,RS21-BC,2.003,0.761,-3.9485,; modified - RJH 11/13/24 - was,,0.775,-5.103,
,10001805,Rheem Water Heaters,Rheem,RS21-BP,2.003,0.778,-6.541,; modified - RJH 11/13/24 - was,,0.789,-7.939,
,2005023A,Rheem Water Heaters,Rheem,RS21-SC,1.983,0.75,-4.867,,,,,
,2009094A,Rheem Water Heaters,Rheem,RS24-BC,2.298,0.735,-4.041,,,,,
,2009057C,Rheem Water Heaters,Rheem,RS24-BP,2.29,0.702,-2.2766,; modified - RJH 11/13/24 - was,,0.728,-5.077,
,2009094B,Rheem Water Heaters,Rheem,RS32-BC,3.051,0.753,-4.106,,,,,
,2009057B,Rheem Water Heaters,Rheem,RS32-BP,3.0505,0.718,-2.3001,; modified - RJH 11/13/24 - was,3.051,0.744,-5.162,
,2009094C,Rheem Water Heaters,Rheem,RS40-BC,3.796,0.758,-4.125,,,,,
,2009057A,Rheem Water Heaters,Rheem,RS40-BP,3.8,0.718,-2.2906,; modified - RJH 11/13/24 - was,,0.744,-5.151,
,2008008A,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 12 INOX,2.28,0.555,-0.996,,,,,
,2008008D,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 12 OEM,2.28,0.555,-0.996,,,,,
,2008010D,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 12 XL INOX,2.848,0.58,-1.05,,,,,
,2008008G,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 14 Star Azzurro / CPC 14 OEM MONO,2.633,0.555,-0.996,,,,,
,2008009A,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 16 w INOX,3.522,0.561,-1.102,,,,,
,2008008C,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 18 INOX,3.41,0.555,-0.996,,,,,
,2008008F,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 18 OEM,3.41,0.555,-0.996,,,,,
,2008009B,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 20 w INOX,4.39,0.561,-1.102,,,,,
,2008008H,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 21 Star Azzurro / CPC 21 OEM MONO,4.009,0.555,-0.996,,,,,
,2008010A,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 30 Star Azzurro / CPC 30 OEM MONO,3.301,0.58,-1.05,,,,,
,2008009C,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 32 Allstar,3.522,0.561,-1.102,,,,,
,2008009D,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 40 Allstar,4.39,0.561,-1.102,,,,,
,2008010B,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 45 Star Azzurro / CPC 45 OEM MONO,4.94,0.58,-1.05,,,,,
,2008008B,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 6 INOX,1.15,0.555,-0.996,,,,,
,2008008E,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 6 OEM,1.15,0.555,-0.996,,,,,
,2008010C,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,CPC 6 XL INOX,1.339,0.58,-1.05,,,,,
,2008011A,Ritter Energie - und Umwelttechnik GmbH & Co. KG,Ritter Solar,OEM 21,2.364,0.428,-1.517,,,,,
,2008003A,"Roth Industries, Inc.",Roth,Heliostar 252,2.528,0.737,-3.888,,,,,
,2010069A,"Roth Industries, Inc.",Roth Heliostar,252 S4,2.52,0.682,-4.327,,,,,
,2008035A,"Roth Industries, Inc.",ROTH R1,ROTH R1,1.296,0.543,-1.227,,,,,
,2007047B,Rural Renewable Energy Alliance,RREAL Solar Powered Furnace (SPF),SPF 26,2.424,0.598,-7.676,,,,,
,2007047C,Rural Renewable Energy Alliance,RREAL Solar Powered Furnace (SPF),SPF 32,3.045,0.602,-7.712,,,,,
,2007047A,Rural Renewable Energy Alliance,RREAL Solar Powered Furnace (SPF),SPF 40,3.788,0.607,-7.769,,,,,
,10002081,SAMMLER B MICHALOPOULOS AEBE,SAMMLER,ARIS2004,2.11,0.68,-4.322,; modified - RJH 11/13/24 - was,,0.689,-4.463,
,10002082,SAMMLER B MICHALOPOULOS AEBE,SAMMLER,ARIS2504,2.516,0.702,-4.401,; modified - RJH 11/13/24 - was,,0.701,-4.512,
,2009095A,SEA Groups Ltd.,SEA,SEA-FZ58-18,2.812,0.311,-1.247,"; manufact. renamed, was: SEA Group Ltd. - SAC 05/11/21",,,,
,2011070A,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-1.0/10-58/1800-B1,1.515,0.414,-2.387,,,,,
,2011070B,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-1.8/18-58/1800-B1,2.673,0.414,-2.387,,,,,
,2011070C,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-2.0/20-58/1800-B1,2.963,0.414,-2.387,,,,,
,2011070D,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-2.4/24-58/1800-B1,3.542,0.414,-2.387,,,,,
,2011070E,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-2.5/25-58/1800-B1,3.686,0.414,-2.387,,,,,
,2011070F,Shandong Linuo New Material Co. Ltd.,LINUO SOLAR,LN-RG-WF-3.0/30-58/1800-B1,4.41,0.414,-2.387,,,,,
,2007017A,Shandong Linuo New Material Co. Ltd.,Shandong Linuo New Material Co. Ltd.,LN-RG-WF-1.6/16-47-1500-A,1.785,0.403,-1.566,,,,,
,10001994,"Sichuan PiEP Solar Technology Co., Ltd.",PIEP,PIEP4896-S01A,2.977,0.726,-4.567,,,,,
,10001769,Silk Road Solar,Silk Road Solar,Sapphire,2.749,0.409,-1.676,,,,,
,10002024,Silk Road Solar,Silk Road Solar,Sol Duc,3.034,0.365,-1.361,,,,,
,10001890,"SINSANE Co., Ltd.",I-solar,SSN65-12,3.022,0.368,-5.238,,,,,
,10001996,Solahart Industries,Solahart,APA2007,2.082,0.627,-5.529,; modified - RJH 11/13/24 - was,,0.637,-6.845,
,2004007A,Solahart Industries,Solahart,Bt,1.983,0.75,-4.867,,,,,
,10001955,Solahart Industries,Solahart,Bt (laser welded),2,0.745,-4.679,,,,,
,2011098A,Solahart Industries,Solahart,"Bt, ( laser welded )",1.986,0.743,-3.856,,,,,
,10001947,Solahart Industries,Solahart,CSA2007,2.082,0.649,-3.252,; modified - RJH 11/13/24 - was,,0.655,-4.083,
,10001995,Solahart Industries,Solahart,CSA2010,2.082,0.693,-3.242,; modified - RJH 11/13/24 - was,,0.702,-4.42,
,10001948,Solahart Industries,Solahart,CSA2013,2.082,0.696,-3.395,; modified - RJH 11/13/24 - was,,0.703,-4.296,
,2012020A,Solahart Industries,Solahart,J,2.003,0.778,-6.541,; modified - RJH 11/13/24 - was,,0.789,-7.939,
,2012021A,Solahart Industries,Solahart,Kf,2.003,0.761,-3.9485,; modified - RJH 11/13/24 - was,,0.775,-5.103,
,2012008A,Solahart Industries,Solahart,L,2.01,0.633,-5.802,; modified - RJH 11/13/24 - was,,0.641,-6.736,
,10001839,Solahart Industries,Solahart,LC,2.01,0.633,-5.802,; modified - RJH 11/13/24 - was,,0.641,-6.736,
,2011082A,Solahart Industries,Solahart,LCS,1.986,0.671,-3.5923,; modified - RJH 11/13/24 - was,,0.676,-4.105,
,10001950,Solahart Industries,Solahart,SCA2000,2.082,0.734,-3.734,; modified - RJH 11/13/24 - was,,0.744,-5.05,
,10001951,Solahart Industries,Solahart,SPA2000,2.082,0.708,-5.953,; modified - RJH 11/13/24 - was,,0.722,-7.754,
,10001998,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,2000A,2,0.725,-4.86,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.72,-4.959,
,10002002,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,2000B,2,0.674,-4.966,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.674,-4.94,
,10002009,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,2000H,2,0.758,-4.678,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.758,-4.583,
,10002000,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,4X10A,3.72,0.706,-4.45,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.701,-4.511,
,10002001,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,4X10B,3.72,0.685,-5.025,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.674,-4.94,
,10002008,"ZHEJIANG JURE SOLAR TECHNOLOGY CO., LTD.",SHT,4X10H,3.72,0.773,-4.609,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",,0.758,-4.583,
,2011102A,Solar America Solutions,Solar America Solutions,SunQuest 250,3.82,0.428,-1.86,"; modified - RJH 11/13/24 - was named SolAqua, Inc.",3.815,0.422,-1.501,
,2010036A,"Solar Coil, LLC",Solar Coil (ICS),SC092809BK,0.886,0.648,-9.294,,,,,
,2008050A,Solar Panels Plus,Solar Panels Plus,SPP-22,3.518,0.481,-1.334,,,,,
,2008050C,Solar Panels Plus,Solar Panels Plus,SPP-25,4.002,0.481,-1.334,,,,,
,2008050B,Solar Panels Plus,Solar Panels Plus,SPP-30,4.81,0.481,-1.334,,,,,
,2008050D,Solar Panels Plus,Solar Panels Plus,SPP-30A,4.81,0.481,-1.334,,,,,
,10001786,Solar Panels Plus,Solar Panels Plus - Monarch 32,SPP-Monarch-32,2.928,0.733,-4.305,,,,,
,10001785,Solar Panels Plus,Solar Panels Plus - Monarch 40,SPP-Monarch-40,3.66,0.734,-4.301,,,,,
,10001788,Solar Panels Plus,Solar Panels Plus - Spartan 32,SPP-Spartan-32,2.975,0.708,-5.132,,,,,
,10001790,Solar Panels Plus,Solar Panels Plus - Spartan 40,SPP-Spartan-40,3.71,0.711,-5.136,,,,,
,2011139A,Solar Power Formulators,SPF,SPF-ET20HP,3.476,0.406,-1.753,,,,,
,2010092A,"Solargenix Energy, LLC",NT-FLEX,NTFLEX10,2.185,0.626,-3.782,,,,,
,2011004A,"Solargenix Energy, LLC",Solargenix NT-24,NT-24-10,2.229,0.678,-3.869,,,,,
,2011114A,"Solargenix Energy, LLC",Solargenix NT-48,NT-48-10,4.467,0.64,-3.271,,,,,
,2005003A,"Solargenix Energy, LLC",Winston Series CPC,WS0503,2.239,0.6,-5.679,,,,,
,2010038A,Solarhot,SOLARHOT,S-C-771D26,2.446,0.729,-4.264,,,,,
,2010038B,Solarhot,SOLARHOT,S-C-771D32,2.928,0.733,-4.305,,,,,
,2010038C,Solarhot,SOLARHOT,S-C-771D40,3.66,0.734,-4.301,,,,,
,2006048A,Solarhot,SOLARHOT Solstice,S-SC-126S26,2.922,0.707,-5.122,,,,,
,2006048B,Solarhot,SOLARHOT Solstice,S-SC-126S32,2.975,0.708,-5.132,,,,,
,2006048C,Solarhot,SOLARHOT Solstice,S-SC-126S40,3.71,0.711,-5.136,,,,,
,2010028A,Solcan / 174945 Ontario Inc.,Solcan,2101,2.889,0.701,-4.216,,,,,
,2009075B,Sole S.A.,Climasol,Climasol 1.75,1.76,0.628,-4.228,,,,,
,2009075A,Sole S.A.,Climasol,Climasol 2.00,1.921,0.629,-4.226,,,,,
,2009075C,Sole S.A.,Climasol,Climasol 2.50,2.315,0.637,-4.231,,,,,
,2009075D,Sole S.A.,Climasol,Climasol 2.70,2.677,0.64,-4.235,,,,,
,2006045A,Solene,AURORA,SLAR-24,2.23,0.784,-4.614,,,,,
,2011074C,Solene,AURORA,SLAR-24SPA,2.235,0.711,-4.055,,,,,
,2009058B,Solene,AURORA,SLAR-32,2.973,0.787,-4.611,,,,,
,2007045C,Solene,AURORA,SLAR-32P,2.973,0.689,-6.304,,,,,
,2011074B,Solene,AURORA,SLAR-32SPA,2.979,0.716,-4.035,,,,,
,2009058C,Solene,AURORA,SLAR-40,3.716,0.79,-4.61,,,,,
,2007045D,Solene,AURORA,SLAR-40P,3.716,0.691,-6.305,,,,,
,2011074A,Solene,AURORA,SLAR-40SPA,3.727,0.719,-4.071,,,,,
,10002077,Solene,Solene,SLAR-24,2.23,0.74,-4.064,,,,,
,10002076,Solene,Solene,SLAR-32,2.973,0.743,-4.057,,,,,
,10002075,Solene,Solene,SLAR-40,3.716,0.745,-4.054,,,,,
,10001923,Solene,Solene,SLSG-40,3.717,0.737,-4.651,,,,,
,10002078,Solene,Solene,SLSG-40 PLUS,3.716,0.745,-4.067,,,,,
,2011086A,Solene,Solene EcoFLARE,SLEF-24,2.25,0.545,-6.213,,,,,
,2009058A,Solene,Solene-Corona,SLCO-30,2.278,0.782,-4.6,,,,,
,2006045B,Solene,Solene-Corona,SLCO-32,2.973,0.787,-4.611,,,,,
,2007045A,Solene,Solene-Corona,SLCO-32P,2.973,0.689,-6.304,,,,,
,2006045C,Solene,Solene-Corona,SLCO-40,3.716,0.79,-4.61,,,,,
,2007045B,Solene,Solene-Corona,SLCO-40P,3.716,0.691,-6.305,,,,,
,10002114,SOLID Solar Energy Systems GmbH,ensol,DIS 150,15.5,0.75,-3.299,; added - SAC 05/11/21,,,,
,10001834,Solight Solar Inc,Solight,44,1.425,0.532,-7.06,,,,,
,2010008B,Solimpeks Solar Energy Corp,Marvel,CLS 1808,1.838,0.686,-4.59,,,,,
,2010008A,Solimpeks Solar Energy Corp,Marvel,CLS 2510,2.48,0.697,-4.573,,,,,
,10001863,Solimpeks Solar Energy Corp,Wunder ALS,1809,1.786,0.708,-4.316,; modified - RJH 11/13/24 - was,1.799,0.711,-4.005,
,10001864,Solimpeks Solar Energy Corp,Wunder ALS,2110,2.07,0.72,-4.077,; modified - RJH 11/13/24 - was,2.07,0.733,-4.092,
,10001865,Solimpeks Solar Energy Corp,Wunder ALS,"2512, 2512-H",2.421,0.721,-4.063,; modified - RJH 11/13/24 - was,2.421,0.727,-4.021,
,10001866,Solimpeks Solar Energy Corp,Wunder ALS,3010,2.971,0.726,-4.196,; modified - RJH 11/13/24 - was,2.967,0.727,-3.994,
,2010070A,Solimpeks Solar Energy Corp,Wunder CLSF,1808,1.79,0.691,-3.63,,,,,
,2010070B,Solimpeks Solar Energy Corp,Wunder CLSF,2108,2.07,0.699,-3.64,,,,,
,2010070C,Solimpeks Solar Energy Corp,Wunder CLSF,2510,2.421,0.705,-3.64,,,,,
,10001719,Solimpeks Solar Energy Corp,Wunder CLSF,3010,2.967,0.701,-3.601,,,,,
,10002103,Soltek Puerto Rico LLC,Soltek,3476-7HE,1.499,0.761,0.658,; added - SAC 05/11/21,,,,
,10002144,SP Treatment Systems Inc.,Sustainable Products SWH,SP BlueWave 29,2.922,0.722,-3.838,; added RJH 11/13/24,,,,
,10002015B,Stiebel Eltron,Sol 29,Premium S,2.578,0.735,-4.85,; added RJH 11/13/24,,,,
,10002015A,Stiebel Eltron,Sol 29,Premium W,2.578,0.714,-4.124,; added RJH 11/13/24,,,,
,2005016A,Stiebel Eltron,Stiebel Eltron,Sol 25 Plus,2.734,0.66,-4.287,,,,,
,2011035A,Stiebel Eltron,Stiebel Eltron,SOL 27 Premium S,2.546,0.767,-4.018,,,,,
,2011036A,Stiebel Eltron,Stiebel Eltron,SOL 27 Premium W,2.546,0.749,-4.035,,,,,
,10002015,Stiebel Eltron,"Stiebel Eltron, Inc",Sol 29 Premium S/W,2.58,0.709,-3.942,,,,,
,2010122A,"Sun Freedom America, LLC",Sun Freedom America-SFA-4,TAL 4 S,2.78,0.678,-3.804,,,,,
,10002092,Sun Light & Power,Sol Vario,1000 DF,1.62,0.587,-1.627,,,,,
,10002091,Sun Light & Power,Sol Vario,2000 DF,3.242,0.587,-1.627,,,,,
,10002090,Sun Light & Power,Sol Vario,3000 DF,4.87,0.587,-1.627,,,,,
,10002104,Sunbank Solar,Sunbank Solar,SB-1200D,2,0.679,-4.653,; added - SAC 05/11/21,,,,
,10001780,"SunEarth, Inc.",CopperHeart,CP-20,1.182,0.674,-5.228,; added RJH 11/13/24,,,,
,10001779,"SunEarth, Inc.",CopperHeart,CP-40,2.319,0.674,-5.228,; added RJH 11/13/24,,,,
,2006024B/S-4579,"SunEarth, Inc.",Empire,EC-21,1.974,0.735,-4.041,,,,,
,2006024A/S-4579,"SunEarth, Inc.",Empire,EC-24 / EC-24-0.75,2.298,0.735,-4.041,,,,,
,2006024C/S-4579,"SunEarth, Inc.",Empire,EC-32 / EC-32-0.75,3.051,0.753,-4.106,,,,,
,2006024D/S-4579,"SunEarth, Inc.",Empire,EC-32-1.5,3.051,0.753,-4.106,,,,,
,2006024E/S-4579,"SunEarth, Inc.",Empire,EC-40 / EC-40-0.75,3.796,0.758,-4.125,,,,,
,2006024F/S-4579,"SunEarth, Inc.",Empire,EC-40-1.5,3.796,0.758,-4.125,,,,,
,2007032B,"SunEarth, Inc.",Empire,EP-21,1.961,0.726,-5.093,"; updated SRCC ID, was: 2007032B/S-4579 - SAC 05/11/21",1.961,0.726,-5.067,
,2007032C,"SunEarth, Inc.",Empire,EP-24 / EP-24-0.75,2.29,0.728,-5.101,"; updated SRCC ID, was: 2007032C/S-4579 - SAC 05/11/21",2.29,0.728,-5.077,
,2007032D,"SunEarth, Inc.",Empire,EP-32 / EP-32-0.75,3.125,0.726,-5.04,"; updated SRCC ID, was: 2007032D/S-4579 - SAC 05/11/21",3.051,0.744,-5.162,
,2007032E,"SunEarth, Inc.",Empire,EP-32-1.5,3.051,0.744,-5.162,"; updated SRCC ID, was: 2007032E/S-4579 - SAC 05/11/21",,,,
,2007032A,"SunEarth, Inc.",Empire,EP-40 / EP-40-0.75,3.8,0.744,-5.151,"; updated SRCC ID, was: 2007032A/S-4579 - SAC 05/11/21",,,,
,2007032F,"SunEarth, Inc.",Empire,EP-40-1.5,3.8,0.744,-5.151,"; updated SRCC ID, was: 2007032F/S-4579 - SAC 05/11/21",,,,
