;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2010067C,"China Hitek Solar Co., Ltd.",HITEK,NSC-70-15,2.961,0.339,-1.787,,,,,
,2010067D,"China Hitek Solar Co., Ltd.",HITEK,NSC-70-20,3.91,0.339,-1.787,,,,,
,2007067A,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-10,1.778,0.363,-1.465,,,,,
,2007067B,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-12,2.102,0.363,-1.465,,,,,
,2007067C,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-16,2.751,0.363,-1.465,,,,,
,2007067D,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-20,3.4,0.363,-1.465,,,,,
,2007067E,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-22,3.724,0.363,-1.465,,,,,
,2007067F,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-24,4.049,0.363,-1.465,,,,,
,2007067G,"China Hitek Solar Co., Ltd.",Hitek Solar,NSC-58-30,5.022,0.363,-1.465,"; RJH 11/13/24 renamed, was: Chromagen Sha'ar Ha'amakim 2000 Ltd.; renamed, was: Chromagen - SAC 05/11/21",,,,
,2009061A,Chromagen Israel Ltd,Chromagen,CR-100-A-P,2.03,0.726,-4.617,; modified - RJH 11/13/24 - was,2.096,0.726,-4.618,
,2009059A,Chromagen Israel Ltd,Chromagen,CR-100-A-SP,2.03,0.727,-4.105,; modified - RJH 11/13/24 - was,2.091,0.728,-4.101,
,2007058A,Chromagen Israel Ltd,Chromagen,CR-100-BC,2.054,0.669,-4.319,,,,,
