// This table pasted into App5-4A_SpaceBySpace-T24N_2019.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,AllowType1,AllowArea1,AllowType2,AllowArea2,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthCareEligible,; 
,//SpaceBySpace,,# per 1000 ft²,,Btu / occupant,Btu / occupant,Load W/ft²,Gal/h per person,,W/ft²,,W/ft²,,W/ft²,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,Space Function Index,Is Eligible for Healthcare Exemption,; 
,Financial Transaction Area,Misc - Banks or bank lobbies,10,0.5,250,250,1.5,0.18,Electric,0.8,Ornamental,0.3,0,0,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,221,1,; 
,General/Commercial & Industrial Work Area (High Bay),Misc - General manufacturing (excludes heavy industrial and process using chemicals),10,0.5,275,475,1,0.18,Gas,0.65,Detailed Task Work (Note 7),0.2,0,0,150,150,0,0,300,1000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,222,1,; 
,General/Commercial & Industrial Work Area (Low Bay),Misc - General manufacturing (excludes heavy industrial and process using chemicals),10,0.5,275,475,1,0.18,Gas,0.6,Detailed Task Work (Note 7),0.2,0,0,150,150,0,0,300,1000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,223,1,; 
,General/Commercial & Industrial Work Area (Precision),Misc - General manufacturing (excludes heavy industrial and process using chemicals),10,0.5,250,200,1,0.18,Gas,0.85,Precision Work (Note 9),0.7,0,0,150,150,0,0,1000,3000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,224,1,; 
,Healthcare Facility and Hospitals (Exam/Treatment Room),Misc - All others,10,0.5,250,200,1.5,0.24,Electric,1.15,0,0,0,0,150,150,1.12596,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,225,1,; 
,Healthcare Facility and Hospitals (Imaging Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,1,0,0,0,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,277,1,; 
,Healthcare Facility and Hospitals (Medical Supply Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.55,0,0,0,0,150,150,0,0,50,300,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,278,1,; 
,Healthcare Facility and Hospitals (Nursery),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.95,Tunable while or dim-to-warm (Note 10),0.1,0,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,279,1,; 
,Healthcare Facility and Hospitals (Nurse's Station),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.75,Tunable while or dim-to-warm (Note 10),0.1,0,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,280,1,; 
,Healthcare Facility and Hospitals (Operating Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,1.9,0,0,0,0,150,150,0,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,281,1,; 
