; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10215,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10216,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10217,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10218,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10219,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10220,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10221,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10222,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10223,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10224,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10301,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10302,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10303,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10304,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10305,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10306,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10307,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10308,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10309,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
