; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10318,5.086600033,5.086600033,5.086600033,5.086600033,5.086600033,5.210336073,5.210336073,5.210336073,5.210336073,5.210336073,5.086600033,5.086600033,5.086600033,5.210336073,5.210336073,5.210336073
10319,5.087109883,5.087109883,5.087109883,5.087109883,5.087109883,5.223688563,5.223688563,5.223688563,5.223688563,5.223688563,5.087109883,5.087109883,5.087109883,5.223688563,5.223688563,5.223688563
10320,5.087195486,5.087195486,5.087195486,5.087195486,5.087195486,5.224331986,5.224331986,5.224331986,5.224331986,5.224331986,5.087195486,5.087195486,5.087195486,5.224331986,5.224331986,5.224331986
10321,5.087702142,5.087702142,5.087702142,5.087702142,5.087702142,5.224562944,5.224562944,5.224562944,5.224562944,5.224562944,5.087702142,5.087702142,5.087702142,5.224562944,5.224562944,5.224562944
10322,5.088181692,5.088181692,5.088181692,5.088181692,5.088181692,5.206011711,5.206011711,5.206011711,5.206011711,5.206011711,5.088181692,5.088181692,5.088181692,5.206011711,5.206011711,5.206011711
10323,5.088325523,5.088325523,5.088325523,5.088325523,5.088325523,5.181369606,5.181369606,5.181369606,5.181369606,5.181369606,5.088325523,5.088325523,5.088325523,5.181369606,5.181369606,5.181369606
10324,5.084747994,5.084747994,5.084747994,5.084747994,5.084747994,5.081538747,5.081538747,5.081538747,5.081538747,5.081538747,5.084747994,5.084747994,5.084747994,5.081538747,5.081538747,5.081538747
10401,4.719956706,4.719956706,4.719956706,4.719956706,4.719956706,4.664306526,4.664306526,4.664306526,4.664306526,4.664306526,4.719956706,4.719956706,4.719956706,4.664306526,4.664306526,4.664306526
10402,4.610501123,4.610501123,4.610501123,4.610501123,4.610501123,4.525135884,4.525135884,4.525135884,4.525135884,4.525135884,4.610501123,4.610501123,4.610501123,4.525135884,4.525135884,4.525135884
10403,4.54786212,4.54786212,4.54786212,4.54786212,4.54786212,4.456776091,4.456776091,4.456776091,4.456776091,4.456776091,4.54786212,4.54786212,4.54786212,4.456776091,4.456776091,4.456776091
10404,4.546116176,4.546116176,4.546116176,4.546116176,4.546116176,4.461849384,4.461849384,4.461849384,4.461849384,4.461849384,4.546116176,4.546116176,4.546116176,4.461849384,4.461849384,4.461849384
10405,4.709843641,4.709843641,4.709843641,4.709843641,4.709843641,4.633150859,4.633150859,4.633150859,4.633150859,4.633150859,4.709843641,4.709843641,4.709843641,4.633150859,4.633150859,4.633150859
10406,4.873318091,4.873318091,4.873318091,4.873318091,4.873318091,4.80369813,4.80369813,4.80369813,4.80369813,4.80369813,4.873318091,4.873318091,4.873318091,4.80369813,4.80369813,4.80369813
10407,5.116097977,5.116097977,5.116097977,5.116097977,5.116097977,5.128761608,5.128761608,5.128761608,5.128761608,5.128761608,5.116097977,5.116097977,5.116097977,5.128761608,5.128761608,5.128761608
10408,5.117951806,5.117951806,5.117951806,5.117951806,5.117951806,5.129126288,5.129126288,5.129126288,5.129126288,5.129126288,5.117951806,5.117951806,5.117951806,5.129126288,5.129126288,5.129126288
10409,4.844567367,4.844567367,4.844567367,4.844567367,4.844567367,4.818620144,4.818620144,4.818620144,4.818620144,4.818620144,4.844567367,4.844567367,4.844567367,4.818620144,4.818620144,4.818620144
10410,4.494090175,4.494090175,4.494090175,4.494090175,4.494090175,4.360597509,4.360597509,4.360597509,4.360597509,4.360597509,4.494090175,4.494090175,4.494090175,4.360597509,4.360597509,4.360597509
10411,4.28122546,4.28122546,4.28122546,4.28122546,4.28122546,0.093161296,0.093161296,0.093161296,0.093161296,0.093161296,4.28122546,4.28122546,4.28122546,0.093161296,0.093161296,0.093161296
