,,Year,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
,,<=1998,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,;,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,,EWall data ->,ExtWall:Construction:CavityLayer
,,<=2000,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,;,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,,Roof data ->,Attic:Construction:CavityLayer
,,<=2003,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,;,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,,,CathedralCeiling:Construction:CavityLayer
,,<=2005,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,;,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,,ExtFlr data ->,ExtWall:Construction:CavityLayer
,,*,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,;,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,R-value,,,,FloorOverCrawl:Construction:CavityLayer
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_ExtFloorCavityRValue,,,,,,,,,,,,,,,,,,;,Cavity R-value (Using JA 4.2 Table 4.4.1),,,,,,,,,,,,,,,,,,Source data: cavity U-value,,,,,,,,,,,,,,,,,,,,
,,Year,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
,,ClimZone =,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R-value,,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,U-value,,,Year for EWall & ExtFlr  =>  Proj:YearEnvelope,
,,<=1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R-value,,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,U-value,,,Year for Roof/CathClg  =>  Proj:YearRoof,
,,<=1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R-value,,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,U-value,,,,
,,<=1998,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,;,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,,EWall data ->,ExtWall:Construction:CavityLayer
,,<=2000,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,;,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,,Roof data ->,Attic:Construction:CavityLayer
