;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10119,28.5603253,268.71,435.87,28.3251696,268.71,435.87,28.4988913,268.71,435.87,28.3360912,268.71,435.87,28.4715873,268.71,435.87,27.6855734,270.99,435.87,28.2784115,264.31,435.87,27.3514407,270.99,435.87,27.2268662,270.99,435.87,27.2500746,270.99,435.87,28.2582748,268.71,435.87,28.286944,268.71,435.87,28.4367747,268.71,435.87,27.3985401,270.99,435.87,27.4869368,270.99,435.87,28.5183454,270.99,435.87
10120,28.5630557,268.71,435.87,28.3279,268.71,435.87,28.5016217,268.71,435.87,28.3388216,268.71,435.87,28.4739764,268.71,435.87,27.6821604,270.99,435.87,28.2749985,264.31,435.87,27.3480277,270.99,435.87,27.2234532,270.99,435.87,27.2466616,270.99,435.87,28.2610052,268.71,435.87,28.2896744,268.71,435.87,28.4395051,268.71,435.87,27.3951271,270.99,435.87,27.4835238,270.99,435.87,28.5149324,270.99,435.87
10121,28.5623731,268.71,435.87,28.3272174,268.71,435.87,28.5009391,268.71,435.87,28.338139,268.71,435.87,28.4732938,268.71,435.87,27.682843,270.99,435.87,28.2756811,264.31,435.87,27.3487103,270.99,435.87,27.2241358,270.99,435.87,27.2473442,270.99,435.87,28.2603226,268.71,435.87,28.2889918,268.71,435.87,28.4388225,268.71,435.87,27.3958097,270.99,435.87,27.4842064,270.99,435.87,28.515615,270.99,435.87
10122,28.5623731,268.71,435.87,28.3272174,268.71,435.87,28.5009391,268.71,435.87,28.338139,268.71,435.87,28.4736351,268.71,435.87,27.6845495,270.99,435.87,28.2773876,264.31,435.87,27.3504168,270.99,435.87,27.2258423,270.99,435.87,27.2490507,270.99,435.87,28.2603226,268.71,435.87,28.2889918,268.71,435.87,28.4388225,268.71,435.87,27.3975162,270.99,435.87,27.4859129,270.99,435.87,28.5173215,270.99,435.87
10123,28.2661247,268.71,435.87,28.030969,268.71,435.87,28.2046907,268.71,435.87,28.0418906,268.71,435.87,28.1770454,268.71,435.87,27.3357409,270.99,435.87,27.9289203,264.31,435.87,27.0016082,270.99,435.87,26.8770337,270.99,435.87,26.9002421,270.99,435.87,27.9640742,268.71,435.87,27.9927434,268.71,435.87,28.1425741,268.71,435.87,27.0487076,270.99,435.87,27.1371043,270.99,435.87,28.1685129,270.99,435.87
10124,27.7026384,268.71,435.87,27.4674827,268.71,435.87,27.6412044,268.71,435.87,27.4784043,268.71,435.87,27.6139004,268.71,435.87,26.839832,270.99,435.87,27.433694,264.31,435.87,26.5056993,270.99,435.87,26.3811248,270.99,435.87,26.4043332,270.99,435.87,27.4005879,268.71,435.87,27.4292571,268.71,435.87,27.5790878,268.71,435.87,26.5527987,270.99,435.87,26.6411954,270.99,435.87,27.672604,270.99,435.87
10201,26.0316336,268.71,435.87,25.7964779,268.71,435.87,25.9701996,268.71,435.87,25.8073995,268.71,435.87,25.9425543,268.71,435.87,25.2510805,270.99,435.87,25.846649,264.31,435.87,24.9169478,270.99,435.87,24.7923733,270.99,435.87,24.8155817,270.99,435.87,25.7295831,268.71,435.87,25.7582523,268.71,435.87,25.908083,268.71,435.87,24.9640472,270.99,435.87,25.0524439,270.99,435.87,26.0838525,270.99,435.87
10202,25.7742934,268.71,435.87,25.5391377,268.71,435.87,25.7128594,268.71,435.87,25.5500593,268.71,435.87,25.6852141,268.71,435.87,25.0367441,270.99,435.87,25.6326539,264.31,435.87,24.7026114,270.99,435.87,24.5780369,270.99,435.87,24.6012453,270.99,435.87,25.4722429,268.71,435.87,25.5009121,268.71,435.87,25.6507428,268.71,435.87,24.7500521,270.99,435.87,24.8381075,270.99,435.87,25.8698574,270.99,435.87
10203,25.6773642,268.71,435.87,25.4422085,268.71,435.87,25.6159302,268.71,435.87,25.4531301,268.71,435.87,25.5886262,268.71,435.87,24.9462996,270.99,435.87,25.5422094,264.31,435.87,24.6121669,270.99,435.87,24.4872511,270.99,435.87,24.5108008,270.99,435.87,25.3753137,268.71,435.87,25.4039829,268.71,435.87,25.5538136,268.71,435.87,24.6592663,270.99,435.87,24.747663,270.99,435.87,25.7790716,270.99,435.87
10204,25.6524493,268.71,435.87,25.4176349,268.71,435.87,25.5913566,268.71,435.87,25.4285565,268.71,435.87,25.5637113,268.71,435.87,24.8544899,270.99,435.87,25.4503997,264.31,435.87,24.5203572,270.99,435.87,24.3954414,270.99,435.87,24.4189911,270.99,435.87,25.3503988,268.71,435.87,25.3794093,268.71,435.87,25.5288987,268.71,435.87,24.5674566,270.99,435.87,24.655512,270.99,435.87,25.6872619,270.99,435.87
