; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10406,1.847708877,1.847708877,1.847708877,1.847708877,1.847708877,1.821725888,1.821725888,1.821725888,1.821725888,1.821725888,1.847708877,1.847708877,1.847708877,1.821725888,1.821725888,1.821725888
10407,1.939427899,1.939427899,1.939427899,1.939427899,1.939427899,1.945826229,1.945826229,1.945826229,1.945826229,1.945826229,1.939427899,1.939427899,1.939427899,1.945826229,1.945826229,1.945826229
10408,1.939549808,1.939549808,1.939549808,1.939549808,1.939549808,1.945397588,1.945397588,1.945397588,1.945397588,1.945397588,1.939549808,1.939549808,1.939549808,1.945397588,1.945397588,1.945397588
10409,1.836848767,1.836848767,1.836848767,1.836848767,1.836848767,1.827998724,1.827998724,1.827998724,1.827998724,1.827998724,1.836848767,1.836848767,1.836848767,1.827998724,1.827998724,1.827998724
10410,1.701687778,1.701687778,1.701687778,1.701687778,1.701687778,1.686301514,1.686301514,1.686301514,1.686301514,1.686301514,1.701687778,1.701687778,1.701687778,1.686301514,1.686301514,1.686301514
10411,1.617809673,1.617809673,1.617809673,1.617809673,1.617809673,0,0,0,0,0,1.617809673,1.617809673,1.617809673,0,0,0
10412,1.632580135,1.632580135,1.632580135,1.632580135,1.632580135,0,0,0,0,0,1.632580135,1.632580135,1.632580135,0,0,0
10413,1.632591923,1.632591923,1.632591923,1.632591923,1.632591923,0,0,0,0,0,1.632591923,1.632591923,1.632591923,0,0,0
10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10415,1.597162099,1.597162099,1.597162099,1.597162099,1.597162099,0,0,0,0,0,1.597162099,1.597162099,1.597162099,0,0,0
10416,1.746225842,1.746225842,1.746225842,1.746225842,1.746225842,1.723920799,1.723920799,1.723920799,1.723920799,1.723920799,1.746225842,1.746225842,1.746225842,1.723920799,1.723920799,1.723920799
10417,1.939594009,1.939594009,1.939594009,1.939594009,1.939594009,1.968467195,1.968467195,1.968467195,1.968467195,1.968467195,1.939594009,1.939594009,1.939594009,1.968467195,1.968467195,1.968467195
10418,1.939692572,1.939692572,1.939692572,1.939692572,1.939692572,1.983607967,1.983607967,1.983607967,1.983607967,1.983607967,1.939692572,1.939692572,1.939692572,1.983607967,1.983607967,1.983607967
10419,1.939876694,1.939876694,1.939876694,1.939876694,1.939876694,1.989646976,1.989646976,1.989646976,1.989646976,1.989646976,1.939876694,1.939876694,1.939876694,1.989646976,1.989646976,1.989646976
10420,1.939861938,1.939861938,1.939861938,1.939861938,1.939861938,1.990437281,1.990437281,1.990437281,1.990437281,1.990437281,1.939861938,1.939861938,1.939861938,1.990437281,1.990437281,1.990437281
10421,1.940065724,1.940065724,1.940065724,1.940065724,1.940065724,1.990251869,1.990251869,1.990251869,1.990251869,1.990251869,1.940065724,1.940065724,1.940065724,1.990251869,1.990251869,1.990251869
10422,1.940307691,1.940307691,1.940307691,1.940307691,1.940307691,1.983661622,1.983661622,1.983661622,1.983661622,1.983661622,1.940307691,1.940307691,1.940307691,1.983661622,1.983661622,1.983661622
10423,1.940282857,1.940282857,1.940282857,1.940282857,1.940282857,1.974348848,1.974348848,1.974348848,1.974348848,1.974348848,1.940282857,1.940282857,1.940282857,1.974348848,1.974348848,1.974348848
10424,1.911967588,1.911967588,1.911967588,1.911967588,1.911967588,1.941036629,1.941036629,1.941036629,1.941036629,1.941036629,1.911967588,1.911967588,1.911967588,1.941036629,1.941036629,1.941036629
10501,1.753070051,1.753070051,1.753070051,1.753070051,1.753070051,1.775146308,1.775146308,1.775146308,1.775146308,1.775146308,1.753070051,1.753070051,1.753070051,1.775146308,1.775146308,1.775146308
10502,1.752845603,1.752845603,1.752845603,1.752845603,1.752845603,1.74780576,1.74780576,1.74780576,1.74780576,1.74780576,1.752845603,1.752845603,1.752845603,1.74780576,1.74780576,1.74780576
10503,1.752679089,1.752679089,1.752679089,1.752679089,1.752679089,1.738880296,1.738880296,1.738880296,1.738880296,1.738880296,1.752679089,1.752679089,1.752679089,1.738880296,1.738880296,1.738880296
10504,1.752571144,1.752571144,1.752571144,1.752571144,1.752571144,1.743326756,1.743326756,1.743326756,1.743326756,1.743326756,1.752571144,1.752571144,1.752571144,1.743326756,1.743326756,1.743326756
10505,1.752562727,1.752562727,1.752562727,1.752562727,1.752562727,1.778186831,1.778186831,1.778186831,1.778186831,1.778186831,1.752562727,1.752562727,1.752562727,1.778186831,1.778186831,1.778186831
10506,1.752676966,1.752676966,1.752676966,1.752676966,1.752676966,1.778367782,1.778367782,1.778367782,1.778367782,1.778367782,1.752676966,1.752676966,1.752676966,1.778367782,1.778367782,1.778367782
10507,1.752809706,1.752809706,1.752809706,1.752809706,1.752809706,1.787867248,1.787867248,1.787867248,1.787867248,1.787867248,1.752809706,1.752809706,1.752809706,1.787867248,1.787867248,1.787867248
10508,1.752939629,1.752939629,1.752939629,1.752939629,1.752939629,1.793210899,1.793210899,1.793210899,1.793210899,1.793210899,1.752939629,1.752939629,1.752939629,1.793210899,1.793210899,1.793210899
10509,1.753245791,1.753245791,1.753245791,1.753245791,1.753245791,1.746878466,1.746878466,1.746878466,1.746878466,1.746878466,1.753245791,1.753245791,1.753245791,1.746878466,1.746878466,1.746878466
10510,1.651840943,1.651840943,1.651840943,1.651840943,1.651840943,0,0,0,0,0,1.651840943,1.651840943,1.651840943,0,0,0
10511,1.652018196,1.652018196,1.652018196,1.652018196,1.652018196,0,0,0,0,0,1.652018196,1.652018196,1.652018196,0,0,0
10512,1.651916463,1.651916463,1.651916463,1.651916463,1.651916463,0,0,0,0,0,1.651916463,1.651916463,1.651916463,0,0,0
10513,1.651589282,1.651589282,1.651589282,1.651589282,1.651589282,0,0,0,0,0,1.651589282,1.651589282,1.651589282,0,0,0
10514,1.651356093,1.651356093,1.651356093,1.651356093,1.651356093,0,0,0,0,0,1.651356093,1.651356093,1.651356093,0,0,0
10515,1.651412063,1.651412063,1.651412063,1.651412063,1.651412063,0,0,0,0,0,1.651412063,1.651412063,1.651412063,0,0,0
10516,1.753157442,1.753157442,1.753157442,1.753157442,1.753157442,1.737313937,1.737313937,1.737313937,1.737313937,1.737313937,1.753157442,1.753157442,1.753157442,1.737313937,1.737313937,1.737313937
10517,1.753012487,1.753012487,1.753012487,1.753012487,1.753012487,1.785566761,1.785566761,1.785566761,1.785566761,1.785566761,1.753012487,1.753012487,1.753012487,1.785566761,1.785566761,1.785566761
10518,1.753177555,1.753177555,1.753177555,1.753177555,1.753177555,1.802029525,1.802029525,1.802029525,1.802029525,1.802029525,1.753177555,1.753177555,1.753177555,1.802029525,1.802029525,1.802029525
10519,1.753363642,1.753363642,1.753363642,1.753363642,1.753363642,1.934083004,1.934083004,1.934083004,1.934083004,1.934083004,1.753363642,1.753363642,1.753363642,1.934083004,1.934083004,1.934083004
10520,1.753326663,1.753326663,1.753326663,1.753326663,1.753326663,1.935046936,1.935046936,1.935046936,1.935046936,1.935046936,1.753326663,1.753326663,1.753326663,1.935046936,1.935046936,1.935046936
10521,1.753523534,1.753523534,1.753523534,1.753523534,1.753523534,1.934401959,1.934401959,1.934401959,1.934401959,1.934401959,1.753523534,1.753523534,1.753523534,1.934401959,1.934401959,1.934401959
10522,1.753711015,1.753711015,1.753711015,1.753711015,1.753711015,1.829803204,1.829803204,1.829803204,1.829803204,1.829803204,1.753711015,1.753711015,1.753711015,1.829803204,1.829803204,1.829803204
10523,1.753679992,1.753679992,1.753679992,1.753679992,1.753679992,1.785415268,1.785415268,1.785415268,1.785415268,1.785415268,1.753679992,1.753679992,1.753679992,1.785415268,1.785415268,1.785415268
10524,1.753383531,1.753383531,1.753383531,1.753383531,1.753383531,1.77660041,1.77660041,1.77660041,1.77660041,1.77660041,1.753383531,1.753383531,1.753383531,1.77660041,1.77660041,1.77660041
10601,1.695402535,1.695402535,1.695402535,1.695402535,1.695402535,1.664851577,1.664851577,1.664851577,1.664851577,1.664851577,1.695402535,1.695402535,1.695402535,1.664851577,1.664851577,1.664851577
10602,1.695154592,1.695154592,1.695154592,1.695154592,1.695154592,1.658521925,1.658521925,1.658521925,1.658521925,1.658521925,1.695154592,1.695154592,1.695154592,1.658521925,1.658521925,1.658521925
10603,1.673942762,1.673942762,1.673942762,1.673942762,1.673942762,1.636257625,1.636257625,1.636257625,1.636257625,1.636257625,1.673942762,1.673942762,1.673942762,1.636257625,1.636257625,1.636257625
10604,1.673431111,1.673431111,1.673431111,1.673431111,1.673431111,1.636339701,1.636339701,1.636339701,1.636339701,1.636339701,1.673431111,1.673431111,1.673431111,1.636339701,1.636339701,1.636339701
10605,1.681523735,1.681523735,1.681523735,1.681523735,1.681523735,1.651282298,1.651282298,1.651282298,1.651282298,1.651282298,1.681523735,1.681523735,1.681523735,1.651282298,1.651282298,1.651282298
10606,1.694901815,1.694901815,1.694901815,1.694901815,1.694901815,1.670855123,1.670855123,1.670855123,1.670855123,1.670855123,1.694901815,1.694901815,1.694901815,1.670855123,1.670855123,1.670855123
10607,1.701247792,1.701247792,1.701247792,1.701247792,1.701247792,1.74418361,1.74418361,1.74418361,1.74418361,1.74418361,1.701247792,1.701247792,1.701247792,1.74418361,1.74418361,1.74418361
10608,1.710642602,1.710642602,1.710642602,1.710642602,1.710642602,1.74826947,1.74826947,1.74826947,1.74826947,1.74826947,1.710642602,1.710642602,1.710642602,1.74826947,1.74826947,1.74826947
10609,1.674187724,1.674187724,1.674187724,1.674187724,1.674187724,1.648300377,1.648300377,1.648300377,1.648300377,1.648300377,1.674187724,1.674187724,1.674187724,1.648300377,1.648300377,1.648300377
10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10616,1.696014788,1.696014788,1.696014788,1.696014788,1.696014788,1.703805767,1.703805767,1.703805767,1.703805767,1.703805767,1.696014788,1.696014788,1.696014788,1.703805767,1.703805767,1.703805767
10617,1.847189273,1.847189273,1.847189273,1.847189273,1.847189273,1.895328823,1.895328823,1.895328823,1.895328823,1.895328823,1.847189273,1.847189273,1.847189273,1.895328823,1.895328823,1.895328823
10618,1.868266195,1.868266195,1.868266195,1.868266195,1.868266195,2.068417671,2.068417671,2.068417671,2.068417671,2.068417671,1.868266195,1.868266195,1.868266195,2.068417671,2.068417671,2.068417671
