; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10118,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.230041179,91.8231482,100,5.215672809,91.8231482,100,5.230041179,91.8231482,100,5.230041179,91.8231482,100,5.230041179,91.8231482,100,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.184744578,93.13284291,100,5.230041179,91.8231482,100,5.230041179,91.8231482,100,5.230041179,91.8231482,100
10119,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.229803263,91.8231482,100,5.215435546,91.8231482,100,5.229803263,91.8231482,100,5.229803263,91.8231482,100,5.229803263,91.8231482,100,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.184508722,93.13284291,100,5.229803263,91.8231482,100,5.229803263,91.8231482,100,5.229803263,91.8231482,100
10120,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.228702142,91.8231482,100,5.21433745,91.8231482,100,5.228702142,91.8231482,100,5.228702142,91.8231482,100,5.228702142,91.8231482,100,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.183417138,93.13284291,100,5.228702142,91.8231482,100,5.228702142,91.8231482,100,5.228702142,91.8231482,100
10121,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.226076813,91.8231482,100,5.211719334,91.8231482,100,5.226076813,91.8231482,100,5.226076813,91.8231482,100,5.226076813,91.8231482,100,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.180814546,93.13284291,100,5.226076813,91.8231482,100,5.226076813,91.8231482,100,5.226076813,91.8231482,100
10122,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.152018509,91.8231482,100,5.137864489,91.8231482,100,5.152018509,91.8231482,100,5.152018509,91.8231482,100,5.152018509,91.8231482,100,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.10739765,93.13284291,100,5.152018509,91.8231482,100,5.152018509,91.8231482,100,5.152018509,91.8231482,100
10123,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.823563462,91.8231482,100,4.810311798,91.8231482,100,4.823563462,91.8231482,100,4.823563462,91.8231482,100,4.823563462,91.8231482,100,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.781787303,93.13284291,100,4.823563462,91.8231482,100,4.823563462,91.8231482,100,4.823563462,91.8231482,100
10124,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.582509097,91.8231482,100,4.569919676,91.8231482,100,4.582509097,91.8231482,100,4.582509097,91.8231482,100,4.582509097,91.8231482,100,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.542820673,93.13284291,100,4.582509097,91.8231482,100,4.582509097,91.8231482,100,4.582509097,91.8231482,100
10201,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.094594739,91.8231482,100,4.083345754,91.8231482,100,4.094594739,91.8231482,100,4.094594739,91.8231482,100,4.094594739,91.8231482,100,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.059132068,93.13284291,100,4.094594739,91.8231482,100,4.094594739,91.8231482,100,4.094594739,91.8231482,100
10202,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.959992273,91.8231482,100,3.949113078,91.8231482,100,3.959992273,91.8231482,100,3.959992273,91.8231482,100,3.959992273,91.8231482,100,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.925695374,93.13284291,100,3.959992273,91.8231482,100,3.959992273,91.8231482,100,3.959992273,91.8231482,100
10203,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.139613249,91.8231482,100,4.128240586,91.8231482,100,4.139613249,91.8231482,100,4.139613249,91.8231482,100,4.139613249,91.8231482,100,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.10376068,93.13284291,100,4.139613249,91.8231482,100,4.139613249,91.8231482,100,4.139613249,91.8231482,100
