;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10119,7.6996,2.2311,4.9261,7.6308,2.2311,4.9261,7.6805,2.2311,4.9261,7.6360,2.2311,4.9261,7.6750,2.2311,4.9261,7.5804,2.2526,4.9261,7.7151,2.1891,4.9261,7.4888,2.2526,4.9261,7.4553,2.2526,4.9261,7.4606,2.2526,4.9261,7.6160,2.2311,4.9261,7.6240,2.2311,4.9261,7.6649,2.2311,4.9261,7.5040,2.2526,4.9261,7.5277,2.2526,4.9261,7.8156,2.2526,4.9261
10120,7.6995,2.2311,4.9261,7.6308,2.2311,4.9261,7.6804,2.2311,4.9261,7.6360,2.2311,4.9261,7.6750,2.2311,4.9261,7.5843,2.2526,4.9261,7.7190,2.1891,4.9261,7.4926,2.2526,4.9261,7.4591,2.2526,4.9261,7.4644,2.2526,4.9261,7.6160,2.2311,4.9261,7.6239,2.2311,4.9261,7.6649,2.2311,4.9261,7.5079,2.2526,4.9261,7.5316,2.2526,4.9261,7.8194,2.2526,4.9261
10121,7.6998,2.2311,4.9261,7.6311,2.2311,4.9261,7.6807,2.2311,4.9261,7.6363,2.2311,4.9261,7.6752,2.2311,4.9261,7.5753,2.2526,4.9261,7.7100,2.1891,4.9261,7.4837,2.2526,4.9261,7.4501,2.2526,4.9261,7.4555,2.2526,4.9261,7.6162,2.2311,4.9261,7.6242,2.2311,4.9261,7.6652,2.2311,4.9261,7.4989,2.2526,4.9261,7.5226,2.2526,4.9261,7.8105,2.2526,4.9261
10122,7.6998,2.2311,4.9261,7.6311,2.2311,4.9261,7.6807,2.2311,4.9261,7.6363,2.2311,4.9261,7.6753,2.2311,4.9261,7.5405,2.2526,4.9261,7.6753,2.1891,4.9261,7.4489,2.2526,4.9261,7.4153,2.2526,4.9261,7.4206,2.2526,4.9261,7.6163,2.2311,4.9261,7.6242,2.2311,4.9261,7.6652,2.2311,4.9261,7.4641,2.2526,4.9261,7.4878,2.2526,4.9261,7.7756,2.2526,4.9261
10123,7.6679,2.2311,4.9261,7.5991,2.2311,4.9261,7.6488,2.2311,4.9261,7.6043,2.2311,4.9261,7.6433,2.2311,4.9261,7.4352,2.2526,4.9261,7.5702,2.1891,4.9261,7.3435,2.2526,4.9261,7.3100,2.2526,4.9261,7.3153,2.2526,4.9261,7.5843,2.2311,4.9261,7.5923,2.2311,4.9261,7.6332,2.2311,4.9261,7.3588,2.2526,4.9261,7.3825,2.2526,4.9261,7.6703,2.2526,4.9261
10124,7.6345,2.2311,4.9261,7.5658,2.2311,4.9261,7.6154,2.2311,4.9261,7.5710,2.2311,4.9261,7.6100,2.2311,4.9261,7.3656,2.2526,4.9261,7.5007,2.1891,4.9261,7.2740,2.2526,4.9261,7.2404,2.2526,4.9261,7.2458,2.2526,4.9261,7.5510,2.2311,4.9261,7.5589,2.2311,4.9261,7.5999,2.2311,4.9261,7.2892,2.2526,4.9261,7.3129,2.2526,4.9261,7.6008,2.2526,4.9261
10201,7.3819,2.2311,4.9261,7.3132,2.2311,4.9261,7.3628,2.2311,4.9261,7.3184,2.2311,4.9261,7.3573,2.2311,4.9261,7.0956,2.2526,4.9261,7.2313,2.1891,4.9261,7.0040,2.2526,4.9261,6.9705,2.2526,4.9261,6.9758,2.2526,4.9261,7.2983,2.2311,4.9261,7.3063,2.2311,4.9261,7.3473,2.2311,4.9261,7.0192,2.2526,4.9261,7.0429,2.2526,4.9261,7.3308,2.2526,4.9261
10202,7.3113,2.2311,4.9261,7.2426,2.2311,4.9261,7.2923,2.2311,4.9261,7.2478,2.2311,4.9261,7.2868,2.2311,4.9261,7.0203,2.2526,4.9261,7.1561,2.1891,4.9261,6.9286,2.2526,4.9261,6.8951,2.2526,4.9261,6.9004,2.2526,4.9261,7.2278,2.2311,4.9261,7.2358,2.2311,4.9261,7.2767,2.2311,4.9261,6.9438,2.2526,4.9261,6.9676,2.2526,4.9261,7.2554,2.2526,4.9261
10203,7.2973,2.2311,4.9261,7.2286,2.2311,4.9261,7.2782,2.2311,4.9261,7.2337,2.2311,4.9261,7.2727,2.2311,4.9261,7.0022,2.2526,4.9261,7.1381,2.1891,4.9261,6.9106,2.2526,4.9261,6.8771,2.2526,4.9261,6.8824,2.2526,4.9261,7.2137,2.2311,4.9261,7.2217,2.2311,4.9261,7.2626,2.2311,4.9261,6.9258,2.2526,4.9261,6.9495,2.2526,4.9261,7.2374,2.2526,4.9261
10204,7.3071,2.2311,4.9261,7.2384,2.2311,4.9261,7.2880,2.2311,4.9261,7.2436,2.2311,4.9261,7.2825,2.2311,4.9261,7.0136,2.2526,4.9261,7.1494,2.1891,4.9261,6.9219,2.2526,4.9261,6.8884,2.2526,4.9261,6.8937,2.2526,4.9261,7.2235,2.2311,4.9261,7.2315,2.2311,4.9261,7.2725,2.2311,4.9261,6.9372,2.2526,4.9261,6.9609,2.2526,4.9261,7.2487,2.2526,4.9261
