; Use with 2009 calendar year and updated CEC weather data      - source file: 2022_TDV_Emissions_Factor_Policy_Comp_20191011.xlsx,,,,,,,,,,,,,,,,
; Version ID: Long Run Marginal Emissions Factors Deep_Decarb,,,,,,,,,,,,,,,,
; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
10405,0.000227965,0.000227965,0.000227965,0.000227965,0.000227965,0.000229957,0.000229325,0.000229957,0.000229957,0.000229957,0.000227965,0.000227965,0.000227965,0.000229957,0.000229957,0.000229957
10406,0.000236655,0.000236655,0.000236655,0.000236655,0.000236655,0.000238723,0.000238067,0.000238723,0.000238723,0.000238723,0.000236655,0.000236655,0.000236655,0.000238723,0.000238723,0.000238723
10407,0.000243525,0.000243525,0.000243525,0.000243525,0.000243525,0.000245653,0.000244978,0.000245653,0.000245653,0.000245653,0.000243525,0.000243525,0.000243525,0.000245653,0.000245653,0.000245653
10408,0.000243672,0.000243672,0.000243672,0.000243672,0.000243672,0.0002458,0.000245125,0.0002458,0.0002458,0.0002458,0.000243672,0.000243672,0.000243672,0.0002458,0.0002458,0.0002458
10409,9.27395E-05,9.27395E-05,9.27395E-05,9.27395E-05,9.27395E-05,9.35497E-05,9.32927E-05,9.35497E-05,9.35497E-05,9.35497E-05,9.27395E-05,9.27395E-05,9.27395E-05,9.35497E-05,9.35497E-05,9.35497E-05
10410,2.19563E-06,2.19563E-06,2.19563E-06,2.19563E-06,2.19563E-06,2.21481E-06,2.20873E-06,2.21481E-06,2.21481E-06,2.21481E-06,2.19563E-06,2.19563E-06,2.19563E-06,2.21481E-06,2.21481E-06,2.21481E-06
10411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10415,1.80142E-07,1.80142E-07,1.80142E-07,1.80142E-07,1.80142E-07,1.81716E-07,1.81217E-07,1.81716E-07,1.81716E-07,1.81716E-07,1.80142E-07,1.80142E-07,1.80142E-07,1.81716E-07,1.81716E-07,1.81716E-07
10416,4.00214E-06,4.00214E-06,4.00214E-06,4.00214E-06,4.00214E-06,4.0371E-06,4.02601E-06,4.0371E-06,4.0371E-06,4.0371E-06,4.00214E-06,4.00214E-06,4.00214E-06,4.0371E-06,4.0371E-06,4.0371E-06
10417,0.000213973,0.000213973,0.000213973,0.000213973,0.000213973,0.000215842,0.000215249,0.000215842,0.000215842,0.000215842,0.000213973,0.000213973,0.000213973,0.000215842,0.000215842,0.000215842
10418,0.000246021,0.000246021,0.000246021,0.000246021,0.000246021,0.00024817,0.000247488,0.00024817,0.00024817,0.00024817,0.000246021,0.000246021,0.000246021,0.00024817,0.00024817,0.00024817
