; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10214,1.233980895,1.233980895,1.233980895,1.233980895,1.233980895,0.357988128,0.357988128,0.357988128,0.357988128,0.357988128,1.233980895,1.233980895,1.233980895,0.357988128,0.357988128,0.357988128
10215,1.23383636,1.23383636,1.23383636,1.23383636,1.23383636,1.144223459,1.144223459,1.144223459,1.144223459,1.144223459,1.23383636,1.23383636,1.23383636,1.144223459,1.144223459,1.144223459
10216,1.319501883,1.319501883,1.319501883,1.319501883,1.319501883,1.305519733,1.305519733,1.305519733,1.305519733,1.305519733,1.319501883,1.319501883,1.319501883,1.305519733,1.305519733,1.305519733
10217,1.333569918,1.333569918,1.333569918,1.333569918,1.333569918,1.348343453,1.348343453,1.348343453,1.348343453,1.348343453,1.333569918,1.333569918,1.333569918,1.348343453,1.348343453,1.348343453
10218,1.37827291,1.37827291,1.37827291,1.37827291,1.37827291,1.409995684,1.409995684,1.409995684,1.409995684,1.409995684,1.37827291,1.37827291,1.37827291,1.409995684,1.409995684,1.409995684
10219,1.378400648,1.378400648,1.378400648,1.378400648,1.378400648,1.44791106,1.44791106,1.44791106,1.44791106,1.44791106,1.378400648,1.378400648,1.378400648,1.44791106,1.44791106,1.44791106
10220,1.378359422,1.378359422,1.378359422,1.378359422,1.378359422,1.442123538,1.442123538,1.442123538,1.442123538,1.442123538,1.378359422,1.378359422,1.378359422,1.442123538,1.442123538,1.442123538
10221,1.378492059,1.378492059,1.378492059,1.378492059,1.378492059,1.424829991,1.424829991,1.424829991,1.424829991,1.424829991,1.378492059,1.378492059,1.378492059,1.424829991,1.424829991,1.424829991
10222,1.3397469,1.3397469,1.3397469,1.3397469,1.3397469,1.359606418,1.359606418,1.359606418,1.359606418,1.359606418,1.3397469,1.3397469,1.3397469,1.359606418,1.359606418,1.359606418
10223,1.334043933,1.334043933,1.334043933,1.334043933,1.334043933,1.341283675,1.341283675,1.341283675,1.341283675,1.341283675,1.334043933,1.334043933,1.334043933,1.341283675,1.341283675,1.341283675
10224,1.322828299,1.322828299,1.322828299,1.322828299,1.322828299,1.2976505,1.2976505,1.2976505,1.2976505,1.2976505,1.322828299,1.322828299,1.322828299,1.2976505,1.2976505,1.2976505
10301,1.319260745,1.319260745,1.319260745,1.319260745,1.319260745,1.216874215,1.216874215,1.216874215,1.216874215,1.216874215,1.319260745,1.319260745,1.319260745,1.216874215,1.216874215,1.216874215
10302,1.20769252,1.20769252,1.20769252,1.20769252,1.20769252,1.09064677,1.09064677,1.09064677,1.09064677,1.09064677,1.20769252,1.20769252,1.20769252,1.09064677,1.09064677,1.09064677
10303,1.178531099,1.178531099,1.178531099,1.178531099,1.178531099,1.064397446,1.064397446,1.064397446,1.064397446,1.064397446,1.178531099,1.178531099,1.178531099,1.064397446,1.064397446,1.064397446
10304,1.165262409,1.165262409,1.165262409,1.165262409,1.165262409,0.31988772,0.31988772,0.31988772,0.31988772,0.31988772,1.165262409,1.165262409,1.165262409,0.31988772,0.31988772,0.31988772
