; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10223,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10224,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10301,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10302,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10303,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10304,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10305,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10306,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10307,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10308,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
