; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10116,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,89.962624,100,3.295371894,89.64436,100,3.295371894,89.962624,100,3.295371894,89.962624,100,3.295371894,89.962624,100,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,90.53726733,100,3.295371894,89.962624,100,3.295371894,89.962624,100,3.295371894,89.962624,100
10117,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,89.962624,100,3.868746415,89.64436,100,3.868746415,89.962624,100,3.868746415,89.962624,100,3.868746415,89.962624,100,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,90.53726733,100,3.868746415,89.962624,100,3.868746415,89.962624,100,3.868746415,89.962624,100
10118,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,89.962624,100,3.944479787,89.64436,100,3.944479787,89.962624,100,3.944479787,89.962624,100,3.944479787,89.962624,100,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,90.53726733,100,3.944479787,89.962624,100,3.944479787,89.962624,100,3.944479787,89.962624,100
10119,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,89.962624,100,4.169141504,89.64436,100,4.169141504,89.962624,100,4.169141504,89.962624,100,4.169141504,89.962624,100,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,90.53726733,100,4.169141504,89.962624,100,4.169141504,89.962624,100,4.169141504,89.962624,100
10120,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,89.962624,100,4.377394684,89.64436,100,4.377394684,89.962624,100,4.377394684,89.962624,100,4.377394684,89.962624,100,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,90.53726733,100,4.377394684,89.962624,100,4.377394684,89.962624,100,4.377394684,89.962624,100
10121,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,89.962624,100,4.339427763,89.64436,100,4.339427763,89.962624,100,4.339427763,89.962624,100,4.339427763,89.962624,100,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,90.53726733,100,4.339427763,89.962624,100,4.339427763,89.962624,100,4.339427763,89.962624,100
10122,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,89.962624,100,4.517618634,89.64436,100,4.517618634,89.962624,100,4.517618634,89.962624,100,4.517618634,89.962624,100,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,90.53726733,100,4.517618634,89.962624,100,4.517618634,89.962624,100,4.517618634,89.962624,100
10123,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,89.962624,100,4.529643788,89.64436,100,4.529643788,89.962624,100,4.529643788,89.962624,100,4.529643788,89.962624,100,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,90.53726733,100,4.529643788,89.962624,100,4.529643788,89.962624,100,4.529643788,89.962624,100
10124,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,89.962624,100,4.536920319,89.64436,100,4.536920319,89.962624,100,4.536920319,89.962624,100,4.536920319,89.962624,100,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,90.53726733,100,4.536920319,89.962624,100,4.536920319,89.962624,100,4.536920319,89.962624,100
10201,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,89.962624,100,8.443439162,89.64436,100,8.443439162,89.962624,100,8.443439162,89.962624,100,8.443439162,89.962624,100,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,90.53726733,100,8.443439162,89.962624,100,8.443439162,89.962624,100,8.443439162,89.962624,100
