;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10119,6.15,1.8476,4.8019,6.15,1.8476,4.8019,6.15,1.8476,4.8019,6.15,1.8476,4.8019,6.1471,1.8476,4.8019,5.8805,1.8666,4.8019,6.1031,1.8084,4.8019,5.8863,1.8666,4.8019,5.8424,1.8666,4.8019,5.8394,1.8666,4.8019,6.1471,1.8476,4.8019,6.1471,1.8476,4.8019,6.15,1.8476,4.8019,5.8365,1.8666,4.8019,5.8424,1.8666,4.8019,5.8277,1.8666,4.8019
10120,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1617,1.8476,4.8019,5.8951,1.8666,4.8019,6.1178,1.8084,4.8019,5.901,1.8666,4.8019,5.857,1.8666,4.8019,5.8541,1.8666,4.8019,6.1617,1.8476,4.8019,6.1617,1.8476,4.8019,6.1647,1.8476,4.8019,5.8512,1.8666,4.8019,5.857,1.8666,4.8019,5.8424,1.8666,4.8019
10121,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,5.9654,1.8666,4.8019,6.1881,1.8084,4.8019,5.9713,1.8666,4.8019,5.9273,1.8666,4.8019,5.9244,1.8666,4.8019,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,6.2379,1.8476,4.8019,5.9215,1.8666,4.8019,5.9273,1.8666,4.8019,5.9098,1.8666,4.8019
10122,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,5.901,1.8666,4.8019,6.1236,1.8084,4.8019,5.9068,1.8666,4.8019,5.8629,1.8666,4.8019,5.8599,1.8666,4.8019,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,6.1735,1.8476,4.8019,5.857,1.8666,4.8019,5.8629,1.8666,4.8019,5.8482,1.8666,4.8019
10123,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.7017,1.8666,4.8019,5.9244,1.8084,4.8019,5.7076,1.8666,4.8019,5.6636,1.8666,4.8019,5.6607,1.8666,4.8019,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.9947,1.8476,4.8019,5.6578,1.8666,4.8019,5.6636,1.8666,4.8019,5.649,1.8666,4.8019
10124,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.2241,1.8666,4.8019,5.4498,1.8084,4.8019,5.2329,1.8666,4.8019,5.189,1.8666,4.8019,5.1861,1.8666,4.8019,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.6255,1.8476,4.8019,5.1831,1.8666,4.8019,5.1861,1.8666,4.8019,5.1714,1.8666,4.8019
10201,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.6792,1.8666,4.8019,4.9048,1.8084,4.8019,4.685,1.8666,4.8019,4.6411,1.8666,4.8019,4.6381,1.8666,4.8019,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.937,1.8476,4.8019,4.6352,1.8666,4.8019,4.6411,1.8666,4.8019,4.6264,1.8666,4.8019
10202,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.5151,1.8666,4.8019,4.7407,1.8084,4.8019,4.5209,1.8666,4.8019,4.477,1.8666,4.8019,4.4741,1.8666,4.8019,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.7671,1.8476,4.8019,4.4711,1.8666,4.8019,4.477,1.8666,4.8019,4.4623,1.8666,4.8019
10203,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.4799,1.8666,4.8019,4.7055,1.8084,4.8019,4.4858,1.8666,4.8019,4.4418,1.8666,4.8019,4.4389,1.8666,4.8019,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.7319,1.8476,4.8019,4.436,1.8666,4.8019,4.4418,1.8666,4.8019,4.4272,1.8666,4.8019
10204,4.7407,1.8476,4.8019,4.7378,1.8476,4.8019,4.7378,1.8476,4.8019,4.7378,1.8476,4.8019,4.7378,1.8476,4.8019,4.4858,1.8666,4.8019,4.7143,1.8084,4.8019,4.4946,1.8666,4.8019,4.4506,1.8666,4.8019,4.4477,1.8666,4.8019,4.7378,1.8476,4.8019,4.7378,1.8476,4.8019,4.7378,1.8476,4.8019,4.4448,1.8666,4.8019,4.4506,1.8666,4.8019,4.4331,1.8666,4.8019
10205,5.1333,1.8476,4.8019,5.1304,1.8476,4.8019,5.1333,1.8476,4.8019,5.1304,1.8476,4.8019,5.1304,1.8476,4.8019,4.852,1.8666,4.8019,5.0776,1.8084,4.8019,4.8608,1.8666,4.8019,4.8139,1.8666,4.8019,4.811,1.8666,4.8019,5.1304,1.8476,4.8019,5.1304,1.8476,4.8019,5.1304,1.8476,4.8019,4.8081,1.8666,4.8019,4.8139,1.8666,4.8019,4.7993,1.8666,4.8019
10206,5.312,1.8476,4.8019,5.312,1.8476,4.8019,5.312,1.8476,4.8019,5.312,1.8476,4.8019,5.312,1.8476,4.8019,5.0249,1.8666,4.8019,5.2505,1.8084,4.8019,5.0308,1.8666,4.8019,4.9868,1.8666,4.8019,4.9839,1.8666,4.8019,5.312,1.8476,4.8019,5.312,1.8476,4.8019,5.312,1.8476,4.8019,4.981,1.8666,4.8019,4.9868,1.8666,4.8019,4.9692,1.8666,4.8019
