,,ClimateZone,CodeBase,BldgType,Metric,SpcHtg,SpcClg,WtrHtg,AppCkg,,
,,12,2022,SingleFam,TDV_2,0.94,1.02,0.41,0.57,,
,,13,2022,SingleFam,TDV_2,0.92,1.01,0.44,0.57,,
,,14,2022,SingleFam,TDV_2,0.87,1.01,0.47,0.58,,
,,15,2022,SingleFam,TDV_2,0.99,1.01,0.53,0.58,,
,,16,2022,SingleFam,TDV_2,0.7,1.05,0.39,0.57,,
,,1,2022,MultiFam,TDV_2,0.76,1,0.45,0.56,,
,,2,2022,MultiFam,TDV_2,0.89,0.95,0.49,0.56,,
,,3,2022,MultiFam,TDV_2,0.94,1,0.46,0.56,,
,,4,2022,MultiFam,TDV_2,0.9,0.96,0.51,0.56,,
,,5,2022,MultiFam,TDV_2,0.84,0.93,0.47,0.56,,
,,6,2022,MultiFam,TDV_2,1,0.94,0.54,0.56,,
,,7,2022,MultiFam,TDV_2,1.23,0.93,0.52,0.56,,
,,8,2022,MultiFam,TDV_2,1.06,0.97,0.57,0.57,,
,,9,2022,MultiFam,TDV_2,1.02,0.98,0.57,0.57,,
,,10,2022,MultiFam,TDV_2,0.95,0.98,0.56,0.56,,
,,11,2022,MultiFam,TDV_2,0.88,0.99,0.55,0.56,,
,,12,2022,MultiFam,TDV_2,0.92,0.98,0.52,0.56,,
,,13,2022,MultiFam,TDV_2,0.89,0.99,0.53,0.56,,
,,14,2022,MultiFam,TDV_2,0.85,0.98,0.55,0.57,,
,,15,2022,MultiFam,TDV_2,0.95,0.99,0.62,0.56,,
,,16,2022,MultiFam,TDV_2,0.67,0.95,0.47,0.56,,
,,*,2022,*,none,1,1,1,1,;,CA T24R 2022 - TDV metric * (EDR2) w/ NO Fuel Adjustments
,,*,2022,*,Src_5,1,1,1,1,;,CA T24R 2022 - SourceEnergy metric 5 (EDR1)   - effectively removed 7/8/19
,,*,2022,*,*,1,1,1,1,;,CA T24R 2022 - invalid metric (or WeatherFileSet)
,ENDTABLE,,,,,,,,,,
