;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10121,4.725810966,103.11,100,4.725810966,103.11,100,4.725810966,103.11,100,4.725810966,103.11,100,4.725810966,103.11,100,4.767098087,101.66,100,4.754001549,101.66,100,4.767098087,101.66,100,4.767098087,101.66,100,4.767098087,101.66,100,4.725810966,103.11,100,4.725810966,103.11,100,4.725810966,103.11,100,4.767098087,101.66,100,4.767098087,101.66,100,4.767098087,101.66,100
10122,4.686469015,103.11,100,4.686469015,103.11,100,4.686469015,103.11,100,4.686469015,103.11,100,4.686469015,103.11,100,4.727412425,101.66,100,4.714424914,101.66,100,4.727412425,101.66,100,4.727412425,101.66,100,4.727412425,101.66,100,4.686469015,103.11,100,4.686469015,103.11,100,4.686469015,103.11,100,4.727412425,101.66,100,4.727412425,101.66,100,4.727412425,101.66,100
10123,4.346007183,103.11,100,4.346007183,103.11,100,4.346007183,103.11,100,4.346007183,103.11,100,4.346007183,103.11,100,4.383976142,101.66,100,4.371932147,101.66,100,4.383976142,101.66,100,4.383976142,101.66,100,4.383976142,101.66,100,4.346007183,103.11,100,4.346007183,103.11,100,4.346007183,103.11,100,4.383976142,101.66,100,4.383976142,101.66,100,4.383976142,101.66,100
10124,4.156827548,103.11,100,4.156827548,103.11,100,4.156827548,103.11,100,4.156827548,103.11,100,4.156827548,103.11,100,4.193143736,101.66,100,4.18162401,101.66,100,4.193143736,101.66,100,4.193143736,101.66,100,4.193143736,101.66,100,4.156827548,103.11,100,4.156827548,103.11,100,4.156827548,103.11,100,4.193143736,101.66,100,4.193143736,101.66,100,4.193143736,101.66,100
10201,3.685436192,103.11,100,3.685436192,103.11,100,3.685436192,103.11,100,3.685436192,103.11,100,3.685436192,103.11,100,3.717634062,101.66,100,3.707420693,101.66,100,3.717634062,101.66,100,3.717634062,101.66,100,3.717634062,101.66,100,3.685436192,103.11,100,3.685436192,103.11,100,3.685436192,103.11,100,3.717634062,101.66,100,3.717634062,101.66,100,3.717634062,101.66,100
10202,3.551242865,103.11,100,3.551242865,103.11,100,3.551242865,103.11,100,3.551242865,103.11,100,3.551242865,103.11,100,3.582268353,101.66,100,3.572426871,101.66,100,3.582268353,101.66,100,3.582268353,101.66,100,3.582268353,101.66,100,3.551242865,103.11,100,3.551242865,103.11,100,3.551242865,103.11,100,3.582268353,101.66,100,3.582268353,101.66,100,3.582268353,101.66,100
10203,3.709545798,103.11,100,3.709545798,103.11,100,3.709545798,103.11,100,3.709545798,103.11,100,3.709545798,103.11,100,3.741954303,101.66,100,3.731674119,101.66,100,3.741954303,101.66,100,3.741954303,101.66,100,3.741954303,101.66,100,3.709545798,103.11,100,3.709545798,103.11,100,3.709545798,103.11,100,3.741954303,101.66,100,3.741954303,101.66,100,3.741954303,101.66,100
10204,4.109163784,103.11,100,4.109163784,103.11,100,4.109163784,103.11,100,4.109163784,103.11,100,4.109163784,103.11,100,4.145063558,101.66,100,4.133675921,101.66,100,4.145063558,101.66,100,4.145063558,101.66,100,4.145063558,101.66,100,4.109163784,103.11,100,4.109163784,103.11,100,4.109163784,103.11,100,4.145063558,101.66,100,4.145063558,101.66,100,4.145063558,101.66,100
10205,4.365025557,103.11,100,4.365025557,103.11,100,4.365025557,103.11,100,4.365025557,103.11,100,4.365025557,103.11,100,4.403160671,101.66,100,4.39106397,101.66,100,4.403160671,101.66,100,4.403160671,101.66,100,4.403160671,101.66,100,4.365025557,103.11,100,4.365025557,103.11,100,4.365025557,103.11,100,4.403160671,101.66,100,4.403160671,101.66,100,4.403160671,101.66,100
10206,4.532534801,103.11,100,4.532534801,103.11,100,4.532534801,103.11,100,4.532534801,103.11,100,4.532534801,103.11,100,4.572133362,101.66,100,4.559572446,101.66,100,4.572133362,101.66,100,4.572133362,101.66,100,4.572133362,101.66,100,4.532534801,103.11,100,4.532534801,103.11,100,4.532534801,103.11,100,4.572133362,101.66,100,4.572133362,101.66,100,4.572133362,101.66,100
10207,4.552701275,103.11,100,4.552701275,103.11,100,4.552701275,103.11,100,4.552701275,103.11,100,4.552701275,103.11,100,4.59247602,101.66,100,4.579859218,101.66,100,4.59247602,101.66,100,4.59247602,101.66,100,4.59247602,101.66,100,4.552701275,103.11,100,4.552701275,103.11,100,4.552701275,103.11,100,4.59247602,101.66,100,4.59247602,101.66,100,4.59247602,101.66,100
10208,4.549504518,103.11,100,4.549504518,103.11,100,4.549504518,103.11,100,4.549504518,103.11,100,4.549504518,103.11,100,4.589251335,101.66,100,4.576643391,101.66,100,4.589251335,101.66,100,4.589251335,101.66,100,4.589251335,101.66,100,4.549504518,103.11,100,4.549504518,103.11,100,4.549504518,103.11,100,4.589251335,101.66,100,4.589251335,101.66,100,4.589251335,101.66,100
10209,4.594549394,103.11,100,4.594549394,103.11,100,4.594549394,103.11,100,4.594549394,103.11,100,4.594549394,103.11,100,4.540055929,101.66,100,4.53532039,101.66,100,4.540055929,101.66,100,4.540055929,101.66,100,4.540055929,101.66,100,4.594549394,103.11,100,4.594549394,103.11,100,4.594549394,103.11,100,4.540055929,101.66,100,4.540055929,101.66,100,4.540055929,101.66,100
10210,3.806438753,103.11,100,3.806438753,103.11,100,3.806438753,103.11,100,3.806438753,103.11,100,3.806438753,103.11,100,3.761292642,101.66,100,3.757369397,101.66,100,3.761292642,101.66,100,3.761292642,101.66,100,3.761292642,101.66,100,3.806438753,103.11,100,3.806438753,103.11,100,3.806438753,103.11,100,3.761292642,101.66,100,3.761292642,101.66,100,3.761292642,101.66,100
10211,2.994520305,103.11,100,2.994520305,103.11,100,2.994520305,103.11,100,2.994520305,103.11,100,2.994520305,103.11,100,2.959003919,101.66,100,2.955917508,101.66,100,2.959003919,101.66,100,2.959003919,101.66,100,2.959003919,101.66,100,2.994520305,103.11,100,2.994520305,103.11,100,2.994520305,103.11,100,2.959003919,101.66,100,2.959003919,101.66,100,2.959003919,101.66,100
10212,2.918171984,103.11,100,2.918171984,103.11,100,2.918171984,103.11,100,2.918171984,103.11,100,2.918171984,103.11,100,2.883561124,101.66,100,2.880553404,101.66,100,2.883561124,101.66,100,2.883561124,101.66,100,2.883561124,101.66,100,2.918171984,103.11,100,2.918171984,103.11,100,2.918171984,103.11,100,2.883561124,101.66,100,2.883561124,101.66,100,2.883561124,101.66,100
10213,2.876071216,103.11,100,2.876071216,103.11,100,2.876071216,103.11,100,2.876071216,103.11,100,2.876071216,103.11,100,2.841959691,101.66,100,2.838995363,101.66,100,2.841959691,101.66,100,2.841959691,101.66,100,2.841959691,101.66,100,2.876071216,103.11,100,2.876071216,103.11,100,2.876071216,103.11,100,2.841959691,101.66,100,2.841959691,101.66,100,2.841959691,101.66,100
10214,2.916570475,103.11,100,2.916570475,103.11,100,2.916570475,103.11,100,2.916570475,103.11,100,2.916570475,103.11,100,2.88197861,101.66,100,2.87897254,101.66,100,2.88197861,101.66,100,2.88197861,101.66,100,2.88197861,101.66,100,2.916570475,103.11,100,2.916570475,103.11,100,2.916570475,103.11,100,2.88197861,101.66,100,2.88197861,101.66,100,2.88197861,101.66,100
10215,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,101.66,100,2.873587255,101.66,100,2.873587255,101.66,100,2.873587255,101.66,100,2.873587255,101.66,100,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,103.11,100,2.873587255,101.66,100,2.873587255,101.66,100,2.873587255,101.66,100
10216,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,101.66,100,2.911327875,101.66,100,2.911327875,101.66,100,2.911327875,101.66,100,2.911327875,101.66,100,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,103.11,100,2.911327875,101.66,100,2.911327875,101.66,100,2.911327875,101.66,100
10217,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,101.66,100,4.687538016,101.66,100,4.687538016,101.66,100,4.687538016,101.66,100,4.687538016,101.66,100,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,103.11,100,4.687538016,101.66,100,4.687538016,101.66,100,4.687538016,101.66,100
10218,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,101.66,100,4.7334813,101.66,100,4.7334813,101.66,100,4.7334813,101.66,100,4.7334813,101.66,100,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,103.11,100,4.7334813,101.66,100,4.7334813,101.66,100,4.7334813,101.66,100
10219,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,101.66,100,4.73362318,101.66,100,4.73362318,101.66,100,4.73362318,101.66,100,4.73362318,101.66,100,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,103.11,100,4.73362318,101.66,100,4.73362318,101.66,100,4.73362318,101.66,100
10220,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,101.66,100,4.733370133,101.66,100,4.733370133,101.66,100,4.733370133,101.66,100,4.733370133,101.66,100,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,103.11,100,4.733370133,101.66,100,4.733370133,101.66,100,4.733370133,101.66,100
