;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,
;,Collection of tables based related to VCHP3 Input Processing,,,,,,,,,,
;,Created:,,05/13/24 SAC,,,,,,,,
;,Last modified:,,02/27/25 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,,,,,,,,,
;,Source Data:,,BigLadder OneDrive - NEEP-Statistical-Model,,,,,,,,
;,,,,,,,,,,,
;,Mod history:,,09/18/24 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,07/24/24 SAC - added 2D interpolation tables,,,,,,,,
;,,,05/13/24 SAC - created tables,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPRegressions,,,,,,,,,,
,,quantity,slope,intercept,r2,,,,,,
,,EIRr82min,-0.3241,1.3050,0.1266,;,EIR Ratio at 82F Min vs SEER2 over EER2,,,,
,,Qr95min,-0.1195,0.5096,0.0468,;,Capacity Ratio at 95F Min vs SEER2 over EER2,,,,
,,COP47rated,0.0660,2.8368,0.0545,;,COP Rated 47F vs HSPF2,,,,
,,Cap95ratVsEIR82,0.3686,0.0286,0.0000,;,Capacity Ratio at 95F Min vs EIR Ratio at 82F Min,,,,
,,*,0.0000,0.0000,0.0000,;,error,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPStatistics,,,,,,,,,,
,,quantity,mean,,,,,,,,
,,IPm17rated,0.933368893,;,Input Power Maintenance at 17°F Rated,,,,,,
,,IPm17min,1.544336045,;,Input Power Maintenance at 17°F Min,,,,,,
,,IPm5max,1.006708468,;,Input Power Maintenance at 5°F Max,,,,,,
,,IPm5rated,1.382642035,;,Input Power Maintenance at 5°F Rated,,,,,,
,,IPm5min,1.000093846,;,Input Power Maintenance at 5°F Min,,,,,,
,,IPmslopeLCTmax,-0.006158878,;,Input Power Maintenance Slope at LCT°F Max,,,,,,
,,IPmslopeLCTmin,-0.003782168,;,Input Power Maintenance Slope at LCT°F Min,,,,,,
,,IPm95max,1.248236673,;,Input Power Maintenance at 95°F Max,,,,,,
,,IPm95min,1.234867325,;,Input Power Maintenance at 95°F Min,,,,,,
,,IPn47max,1.209187421,;,Input Power Normalized 47°F Max,,,,,,
,,IPn47min,0.234966192,;,Input Power Normalized 47°F Min,,,,,,
,,IPn17max,1.303852462,;,Input Power Normalized 17°F Max,,,,,,
,,IPn17rated,0.933368893,;,Input Power Normalized 17°F Rated,,,,,,
,,IPn17min,0.340343552,;,Input Power Normalized 17°F Min,,,,,,
,,IPn5max,1.30613567,;,Input Power Normalized 5°F Max,,,,,,
,,IPn5rated,1.301518964,;,Input Power Normalized 5°F Rated,,,,,,
,,IPn5min,0.342037725,;,Input Power Normalized 5°F Min,,,,,,
,,IPn95max,1.186723923,;,Input Power Normalized 95°F Max,,,,,,
,,IPn95min,0.254192508,;,Input Power Normalized 95°F Min,,,,,,
,,IPn82max,0.965213961,;,Input Power Normalized 82°F Max,,,,,,
,,IPn82min,0.212088169,;,Input Power Normalized 82°F Min,,,,,,
,,LCT,-13.34228188,;,LCT,,,,,,
,,EIRr47rated,0.938912157,;,EIR Ratio at 47°F Rated,,,,,,
,,EIRr47min,0.730361204,;,EIR Ratio at 47°F Min,,,,,,
,,EIRr17rated,0.902356545,;,EIR Ratio at 17°F Rated,,,,,,
,,EIRr17min,0.798303188,;,EIR Ratio at 17°F Min,,,,,,
,,EIRr5rated,0.999543975,;,EIR Ratio at 5°F Rated,,,,,,
,,EIRr5min,0.865974379,;,EIR Ratio at 5°F Min,,,,,,
,,EIRr95rated,0.927627226,;,EIR Ratio at 95°F Rated,,,,,,
,,EIRr95min,0.735699489,;,EIR Ratio at 95°F Min,,,,,,
,,EIRr82min,0.747588674,;,EIR Ratio at 82°F Min,,,,,,
,,EIRm17max,1.408062952,;,EIR Maintenance at 17°F Max,,,,,,
,,EIRm17rated,1.351218732,;,EIR Maintenance at 17°F Rated,,,,,,
,,EIRm17min,1.560117589,;,EIR Maintenance at 17°F Min,,,,,,
,,EIRm5max,1.164391174,;,EIR Maintenance at 5°F Max,,,,,,
,,EIRm5rated,1.303662047,;,EIR Maintenance at 5°F Rated,,,,,,
,,EIRm5min,1.252611399,;,EIR Maintenance at 5°F Min,,,,,,
,,EIRmslopeLCTmax,0.012200453,;,EIR Maintenance Slope at LCT°F Max,,,,,,
,,EIRmslopeLCTmin,0.012245905,;,EIR Maintenance Slope at LCT°F Min,,,,,,
,,EIRm95max,1.32648716,;,EIR Maintenance at 95°F Max,,,,,,
,,EIRm95min,1.315498001,;,EIR Maintenance at 95°F Min,,,,,,
,,*,0.0000,;,error,,,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
