; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10216,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10217,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10218,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10219,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10220,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10221,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10222,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10223,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10224,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10301,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
