TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
Back_Storage_ReliefFan,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys7-3,n/a,10159.915,0,0.5,StaticPressure,1,5,InAirStream,0.895
Main_Entry_ReliefFan,BaseRelief Fan-4,VariableSpeedDrive,BaseAirSys7-4,n/a,9041.213,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Registers/Aisle_ReliefFan,BaseRelief Fan-5,VariableSpeedDrive,BaseAirSys7-5,n/a,13855.412,0,0.5,StaticPressure,1,5,InAirStream,0.895
Restroom_1_ReliefFan,BaseRelief Fan-6,VariableSpeedDrive,BaseAirSys7-6,n/a,3175.19,0,0.4,StaticPressure,0.75,1,InAirStream,0.855
Restroom_2_ReliefFan,BaseRelief Fan-7,VariableSpeedDrive,BaseAirSys7-7,n/a,3177.052,0,0.4,StaticPressure,0.75,1,InAirStream,0.855
Side_Entry_1_ReliefFan,BaseRelief Fan-8,VariableSpeedDrive,BaseAirSys7-8,n/a,9217.198,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Side_Entry_2_ReliefFan,BaseRelief Fan-9,VariableSpeedDrive,BaseAirSys7-9,n/a,9572.524,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Side_Shelving_East_ReliefFan,BaseRelief Fan-10,VariableSpeedDrive,BaseAirSys7-10,n/a,15314.464,0,0.5,StaticPressure,1,5,InAirStream,0.895
Side_Shelving_West_ReliefFan,BaseRelief Fan-11,VariableSpeedDrive,BaseAirSys7-11,n/a,15226.556,0,0.5,StaticPressure,1,5,InAirStream,0.895
Side_Storage_1_ReliefFan,BaseRelief Fan-12,VariableSpeedDrive,BaseAirSys7-12,n/a,9692.154,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Side_Storage_2_ReliefFan,BaseRelief Fan-13,VariableSpeedDrive,BaseAirSys7-13,n/a,5146.278,0,0.4,StaticPressure,0.75,2,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7 OACtrl-2,DifferentialDryBulb,BaseAirSys7-2,Integrated,,,,,,,,
Back_Storage_OACtrl,BaseSys7 OACtrl-3,DifferentialDryBulb,BaseAirSys7-3,Integrated,,,,,,,,
Main_Entry_OACtrl,BaseSys7 OACtrl-4,DifferentialDryBulb,BaseAirSys7-4,Integrated,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7 OACtrl-5,DifferentialDryBulb,BaseAirSys7-5,Integrated,,,,,,,,
Restroom_1_OACtrl,BaseSys7 OACtrl-6,DifferentialDryBulb,BaseAirSys7-6,Integrated,,,,,,,,
Restroom_2_OACtrl,BaseSys7 OACtrl-7,DifferentialDryBulb,BaseAirSys7-7,Integrated,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7 OACtrl-8,DifferentialDryBulb,BaseAirSys7-8,Integrated,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7 OACtrl-9,DifferentialDryBulb,BaseAirSys7-9,Integrated,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7 OACtrl-10,DifferentialDryBulb,BaseAirSys7-10,Integrated,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7 OACtrl-11,DifferentialDryBulb,BaseAirSys7-11,Integrated,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7 OACtrl-12,DifferentialDryBulb,BaseAirSys7-12,Integrated,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7 OACtrl-13,DifferentialDryBulb,BaseAirSys7-13,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
