TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
GuestRoom324_FPFC CoilClg,BaseSys2 CoilClg-25,ChilledWater,BaseZnSys2-25,UNDEFINED,3587.053,3587.053,0.35857,-99996,-99996,-99996,,
GuestRoom401_FPFC CoilClg,BaseSys2 CoilClg-26,ChilledWater,BaseZnSys2-26,UNDEFINED,6123.164,6123.164,0.61208,-99996,-99996,-99996,,
GuestRoom402_405_FPFC CoilClg,BaseSys2 CoilClg-27,ChilledWater,BaseZnSys2-27,UNDEFINED,5186.033,5186.033,0.51841,-99996,-99996,-99996,,
GuestRoom406_408_FPFC CoilClg,BaseSys2 CoilClg-28,ChilledWater,BaseZnSys2-28,UNDEFINED,5769.892,5769.892,0.57677,-99996,-99996,-99996,,
GuestRoom409_412_FPFC CoilClg,BaseSys2 CoilClg-29,ChilledWater,BaseZnSys2-29,UNDEFINED,5165.749,5165.749,0.51638,-99996,-99996,-99996,,
GuestRoom413_FPFC CoilClg,BaseSys2 CoilClg-30,ChilledWater,BaseZnSys2-30,UNDEFINED,5144.495,5144.495,0.51425,-99996,-99996,-99996,,
GuestRoom414_FPFC CoilClg,BaseSys2 CoilClg-31,ChilledWater,BaseZnSys2-31,UNDEFINED,4793.546,4793.546,0.47917,-99996,-99996,-99996,,
GuestRoom415_418_FPFC CoilClg,BaseSys2 CoilClg-32,ChilledWater,BaseZnSys2-32,UNDEFINED,4770.625,4770.625,0.47688,-99996,-99996,-99996,,
GuestRoom419_FPFC CoilClg,BaseSys2 CoilClg-33,ChilledWater,BaseZnSys2-33,UNDEFINED,4758.063,4758.063,0.47563,-99996,-99996,-99996,,
GuestRoom420_423_FPFC CoilClg,BaseSys2 CoilClg-34,ChilledWater,BaseZnSys2-34,UNDEFINED,4710.035,4710.035,0.47082,-99996,-99996,-99996,,
GuestRoom424_FPFC CoilClg,BaseSys2 CoilClg-35,ChilledWater,BaseZnSys2-35,UNDEFINED,4691.219,4691.219,0.46894,-99996,-99996,-99996,,
ENDTABLE,,,,,,,,,,,,
TABLE HotSmlCECStd16070012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,UNDEFINED,114312.738,114312.738,5.71347,-99996,-99996,,,
BaseSys5 CoilHtg-2,BaseSys5 CoilHtg-2,HotWater,BaseAirSys5-2,UNDEFINED,9258.55,9258.55,0.46275,-99996,-99996,,,
