; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
PropVentOnlyAirSys SupFan,PropVentOnlyAirSys SupFan,ConstantVolume,PropVentOnlyAirSys,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-2,PropVentOnlyAirSys SupFan-2,ConstantVolume,PropVentOnlyAirSys-2,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-3,PropVentOnlyAirSys SupFan-3,ConstantVolume,PropVentOnlyAirSys-3,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-4,PropVentOnlyAirSys SupFan-4,ConstantVolume,PropVentOnlyAirSys-4,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-5,PropVentOnlyAirSys SupFan-5,ConstantVolume,PropVentOnlyAirSys-5,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-6,PropVentOnlyAirSys SupFan-6,ConstantVolume,PropVentOnlyAirSys-6,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-7,PropVentOnlyAirSys SupFan-7,ConstantVolume,PropVentOnlyAirSys-7,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-8,PropVentOnlyAirSys SupFan-8,ConstantVolume,PropVentOnlyAirSys-8,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-9,PropVentOnlyAirSys SupFan-9,ConstantVolume,PropVentOnlyAirSys-9,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-10,PropVentOnlyAirSys SupFan-10,ConstantVolume,PropVentOnlyAirSys-10,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
