,,2013,2014,AirToWaterHeatPump,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,0,-1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2013,2014,GroundSourceHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,0,-1,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
,,2013,2014,VCHP,Warning1,7.7,Warning4,Warning4,Warning3,1,-1,1,1,0,0,68,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,0,-1,;,VCHP - Variable Capacity Heat Pump,,SAC 11/2/18 - added
,,2013,2014,VCHP2,Warning1,7.7,Warning4,Warning4,Warning3,1,-1,1,1,0,0,68,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,0,-1,;,VCHP2 - Variable Capacity Heat Pump,,SAC 11/2/18 - added
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2015,CntrlFurnace   ,78,Warning2,Warning4,Warning4,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,0,-1,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2013,2015,WallFurnaceFan,73,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,WallFurnaceGravity - Ductless gravity flowed wall furnace,,
,,2013,2015,WallFurnaceGravity,59,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,FloorFurnace - Ductless floor heating system,,
,,2013,2015,FloorFurnace,56,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2015,RoomHeater,57,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2015,Boiler         ,80,Warning2,Warning4,Warning4,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,0,-1,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2015,WoodHeat,Warning1,Warning2,Warning4,Warning4,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,0,-1,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2013,2015,SplitHeatPump  ,Warning1,8.2,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2013,2015,SDHVSplitHeatPump,Warning1,7.2,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2013,2015,DuctlessMiniSplitHeatPump,Warning1,8.2,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2013,2015,DuctlessMultiSplitHeatPump,Warning1,8.2,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2013,2015,DuctlessVRFHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2013,2015,PkgHeatPump    ,Warning1,8.0,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2013,2015,LrgPkgHeatPump ,Warning1,0,Warning4,Warning4,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,0,-1,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2013,2015,RoomHeatPump   ,Warning1,7.4,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2013,2015,Electric       ,Warning1,8.2,Warning4,Warning4,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,0,-1,;,Electric - All electric heating systems other than heat pump      ,,
,,2013,2015,CombHydro      ,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,0,-1,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2015,ElecCombHydro,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,0,-1,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2015,AirToWaterHeatPump,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,0,-1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
